kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,USER USER USER USER Wah keluar konteks dasare pekok,USER USER USER USER Aduh keluar konteks dasar bodoh pekok,USER USER USER USER Ya keluar konteks dasare pekok tenan,USER USER USER USER Lah keluar konteks dasar pekok banget,USER USER USER USER Ih keluar konteks dasar pekok kok,hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Ngatur harga beras wae ora iso kok malah dadi pemimpin cok jancok, mundur wae cok dadi presiden ora nduwe isin raimu cok","Stabilin harga beras thok gak bisa kok jadi penguasa anjing jancok, surut wae cok kowe jadi presiden gak ada malune raimu cok","Ngstabilke harga beras wae gak mampu kok malah mimpin negara cok jancok, turun wae cok seko kursi presiden dasar ora nduwe wirang raimu cok","Atur harga beras tok gak becus kok dadi raja cok jancok, minggat wae cok seko jabatan presiden gak punya rasa malu raimu cok","Ngendalikke harga beras wae gak iso kok malah dadi bos negara cok jancok, mundur saiki cok kamu presiden dasar gak nduwe pakewuh raimu cok",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,USER terus lambeku lambe apa sih😭😭😭 aku lebih suka palawija daripada nasi makan nasi tiga hari sekali aja kadang malas,USER lah lambeku lambe piye to😭😭😭 aku lbh doyan palawija ketimbang nasi mkn nasi seminggu tiga kali aja sering males,USER kok lambeku lambe ngopo😭😭😭 aku lebih seneng palawija daripada nasi makan nasi tiga hari sekali tok kdg ogah,USER dadi lambeku lambe kenopo😭😭😭 aku lbh milih palawija ketimbang nasi mkn nasi seminggu tiga kali ja sering males,USER lambeku lambe piye iki😭😭😭 aku lebih suka palawija daripada nasi makan nasi tiga hari sekali aja kadang malas,not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER w juga pengen kalo hts model kaya gini, daripada hts yang maunya cuma gw asu","USER gw juga mau kl hts tipe begini, drpd hts yg kepingin cm aku asu","USER aku jg pengin kalo hts modelnya gini, drpd hts yang pgn cuma w asu","USER w juga kepengen kl hts macam bgini, drpd hts yg maunya cuma gue asu","USER gue jg mau kalo hts kayak gini, drpd hts yang pingin cm w asu",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,JANCUK LALI ADA BOCAH UKM LATIHAN ING NGISOR WKWKWK takut banget :v,ANJIR KELUPAAAN DIBAWAH ITU ADA ANAK-ANAK UKM LAGI LATIHAN HSHSHS serem :v,JANCOK ILANG PIKIRAN ADA ANAK UKM LATIAN NENG NGISOR HAHAHA wedi :v,ASU LUPA YA ADA BOCAH UKM LAGI LATIHAN DIBAWAH INI HSHHSHS takut loh :v,WAH JANCUK GOBLOK AKU LUPA ADA UKM LATIAN DIBAWAH SHSHSH wedi banget :v,not hate speech
USER Njir gundulmu part time 8 jam libur segitu,Anjir botak e part time 8 jam libur segono,Njir gundul mu kerja part time 8 jam liburnya segitu doang,Asli botak e part time 8 jam libur cuma segitu,Njir kepala plontos mu part time 8 jam libur mung segono,Anjir gundul mu kerja 8 jam part time libur cuma segitu tok,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,Wong sing pasang tulisan muhammadiyah kuwi ora ngerti muhammadiyah. Goblok,Sik nduwe tulisan muhammadiyah iku gak paham muhammadiyah. Edan,Wong sing masang postingan muhammadiyah kuwi gak mudeng muhammadiyah. Tolol,Sik nulis muhammadiyah itu ora ngerti muhammadiyah. Bodoh,Wong sing nggawe tulisan muhammadiyah kuwi gak paham muhammadiyah. Dungu,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","eh nder, lu sekolah sampai kelas berapa sih? kuliah berapa semester? masa hal kayak gini aja masih lu tanyain ke base? ditinggal aja tu cowok soalnya dia bukan hecan juga, ga ada jaminan masa depan lu aman sama cowok beginian, enak banget nyuruh-nyuruh padahal bukan dia yang biayain, bangsat kata gue teh","nder, lu pendidikan sampai mana? kuliah berapa lama? kok hal segini masih mau lu tanyain ke base? cabut aja dari cowo lu karena dia bukan hecan juga, gaada kepastian hidup lu bakal oke sama cowo model gini, enaknya doang ngatur-ngatur padahal bukan dia yang modal, kontol kata gue teh","eh nder, lu sekolah berapa taun sih? kuliah sampai kapan? masa beginian aja masih lu konsultasi ke base? putusin aja cowo lu soalnya dia juga bukan hecan, ga ada jaminan kehidupan lu secure sama cowok kayak gini, asik aja komando-komando padahal bukan yang kasih duit, anjing kata gue teh","nder, pendidikan lu sampai mana? kuliah berapa tahun? hal kecil gini masih lu pertanyakan ke base? leave aja cowok lu karena dia bukan hecan juga, gaada guarantee hidup lu akan terjamin sama cowo begini, enak banget dikte-dikte padahal bukan dia yang finance, tai kata gue teh","eh nder, lu sekolah berapa lama? kuliah sampai tingkat mana? masa hal segini aja masih lu tanyain ke base? ditinggalin aja cowo lu soalnya dia juga bukan hecan, ga ada jaminan masa depan lu stabil sama cowok model gini, enaknya aja perintah-perintah padahal bukan yang biaya, sial kata gue teh",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","anjir gara-gara pake apple music 3 bulan top songs gw jadi aneh banget, minutes listenednya cuma 15k doang kontol","sial gara-gara langganan apple music 3 bulan top songs gua malah jadi aneh, minutes listenednya cuma 15k asu","tai karena subscribe apple music 3 bulan top songs gw berubah aneh, minutes listenednya cuma 15 ribu lagi bangsat","asu gara-gara pake apple music 3 bulan top songs gua jadi kacau, minutes listenednya cm 15k doang tai","bangsat karena langganan apple music 3 bulan top songs gw malah aneh, minutes listenednya cuma 15k asu",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","wedus ketir, wedus ketir, wedus ketir. wedus sing amat kambing banget, sing amat domba banget. billie ellis dodol pecel. ojo sampek wedus nyolong apel","wedus ketir, wedus ketir, wedus ketir. wedus yang bener-bener kambing, yang bener-bener domba. billie ellis dodol pecel. jangan sampe wedus nyuri apel","wedus ketir, wedus ketir, wedus ketir. wedus sing tenan kambing, sing tenan domba. billie ellis dodol pecel. ojok nganti wedus njupuk apel","wedus ketir, wedus ketir, wedus ketir. wedus yang sangat-sangat kambing, yang sangat-sangat domba. billie ellis dodol pecel. jangan sampai wedus ngambil apel","wedus ketir, wedus ketir, wedus ketir. wedus sing pancen kambing banget, sing pancen domba banget. billie ellis dodol pecel. ojo nganti wedus njupuk apel",not hate speech
USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu,eh narkosuun bajingan. pengenmu indonesia kudu kerjasama karo negara endi?? apa salahnya indonesia kerjasama karo china? ekonomine apik. syaratnya ora akeh yen arep investasi. dasar goblok kowe,woy narkosuun asu. maumu indonesia mesti kerjasama sama negara mana?? apa masalahnya indonesia kerjasama karo china? perekonomiannya oke. persyaratannya gak ribet kalau mau investasi. dasar tolol lu,eh narkosuun bangsat. pinginmu indonesia harus kerjasama karo negara apa?? kenapa indonesia ora oleh kerjasama sama china? ekonominya bagus. syaratnya gampang yen pengen investasi. dasar bego kowe,lah narkosuun kontol. kepinginmu indonesia kudu kerjasama sama negara endi?? salahnya apa indonesia kerjasama karo china? perekonomiannya mantep. persyaratannya simple kalau mau investasi. dasar idiot lu,hey narkosuun tai. arep mu indonesia harus kerjasama karo negara mana?? masalahnya apa indonesia kerjasama sama china? ekonomine apik banget. syaratnya ora susah yen arep investasi. dasar dungu kowe,hate speech
"USER Lambemu lamis USER ....  Semua orang pun tahu, bahwa elu cuma bela yang bayar elu... Dasar anak buah Hasto...!!! https://t.co/ShBMACikdp","Lambemu lamis banget... Kabeh wong yo ngerti, sampeyan mung mbela sing mbayar sampeyan tok... Dasar antek-anteke Hasto...!!!","Lambe sampeyan lamis tenan... Wong kabeh wis ngerti kok, yen sampeyan cuma bela sing ngasih duit... Dasar kacung Hasto...!!!","Lambemu lamis pol... Semua orang juga paham, kalo elu cuma pembelaan bayaran doang... Dasar budak Hasto...!!!","Lambe sampeyan lamis banget... Kabeh uwong wis mangert, yen kowe mung mbela sing menehi upah... Dasar anak buahe Hasto...!!!","Lambemu lamis tenan... Wong sakabehe yo ngerti, sampeyan ki mung bela sing bayar tok... Dasar pesuruh Hasto...!!!",hate speech
