kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,USER USER USER USER Yah keluar konteks dsr goblog,USER USER USER USER Ya keluar konteks dasar pekok bgt,USER USER USER USER Yah metu konteks dhasar pekok,USER USER USER USER Ya kluar konteks dsr gblk,USER USER USER USER Yah metu saka konteks dhasar pekok e,hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,Nyetabilno rego gabah ae gk becus kok dadi penguasa njir jancuk.mundur ae cok kowe dadi presiden dsr gk duwe isin raimu cok,Menstabilkan harga beras aja gak bisa kok jadi pemimpin anjr jancok.munduro wae cok kamu jadi presiden dasar gk punya malu mukamu cok,Nyetabilke regane beras tok gk becus kok dadi panguwasa cok jancuk.mundur cok sampeyan dadi presiden dsr gk nduwe isin raimu cok,Stabilno argo beras ae gk iso kok jd penguasa njir jancok.munduro ae cok kowe dadi presiden dasar gk duwe malu mukamu cok,Menstabilkan harga beras aja gk becus kok jadi pemimpin cok jancuk.mundur wae cok kamu jadi presiden dsr gak punya isin raimu cok,hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija drpd nasi mkn nasi 3 hari skali aja kdg males,USER terus lambeku lambe apa sih😭😭😭 ak lbh suka palawija ketimbang beras makan nasi tiga hari sekali aj kadang males,USER trus lambeku lambe opo ya😭😭😭 aku lbh doyan palawija drpd nasi mkn nasi 3x seminggu aja sering males,USER terus lambeku lambe apa ya mih😭😭😭 ak lbh seneng palawija ketimbang nasi makan nasi tiap 3 hari sekali kdng males bgt,USER trus lambeku lambe opo sih😭😭😭 aku lbh suka palawija drpd beras mkn nasi 3 hari skali doang kdg2 males,not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER w jg pengin yen hts model koyok ngene, tinimbang hts sing mung arep aku wae anjing","USER aku ya mau kalo hits model begini, daripada hits yg cuma pengen gue doang asu","USER w jg kepingin kl hts model kyk gini, drpd hts sing cm pgn ak tok anjr","USER aku juga mau nih kalo hits model kayak begini, tinimbang hits yg cuma mau aku wae asu","USER w ya pengen kl hts model bginian, luwih apik tinimbang hts yg mung arep gw asu",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,Ah anjir lali neng ngisor ana bocah UKM latihan wkwkwkwk takut bgt :v,AH JANCUK lupa di bawah ada anak2 UKM lagi latihan shshshsh takutt banget :v,Ah jancok lali yen ngisor ana bocah UKM latian shshsh takut cuk :v,AH ANJIR lupa klo di bawah ada anak UKM latihan wkwkwk takut bgt :v,Ah jancuk lali dibawah ana bocah UKM lagi latian shshshs takutt pol :v,not hate speech
USER Njir gundulmu part time 8 jam libur segitu,Anjir gundul e part time 8 jam libure segono kok,Njr gundulmu kerja paruh waktu 8 jam libur segitu doang,Wah gundule part time 8 jam tp libur segitu tok,Lah gundulmu part timer 8 jam libur secuil gt aja,Astaga gundule kerja 8 jam libur dikit bgt gitu,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,USER Sik pasang tulisan muhammadiyah itu gk ngerti muhammadiyah. Sontoloyo bgt,USER Sing masang tulisan muhammadiyah kuwi ga paham muhammadiyah. Goblok,USER Sik masang post muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo tenan,USER Sing pasang tulisan muhammadiyah kuwi ora mudeng muhammadiyah. Gblk,USER Sik masang status muhammadiyah itu ga ngerti muhammadiyah. Sontoloyo banget,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","nder, kowe sekolah piro taun? kuliah piro taun? perkoro koyok ngene isih ditakokke neng base? tinggalno wae cowokmu soale dheweke ora hecan uga, gaono jaminan urip kowe terjamin karo cowo koyok ngene, enak wae nyuruh-nyuruh padahal dudu sing mbayari, telek omongku","nder, lu skolah brp taun? kuliah brp taun? hal kyk gni msh lu tanyain ke base? tinggalin aj cowok lu soalny dia bkn hecan jg, ga ada jaminan idup lu terjamin sm cowo gni, enk aj nyuruh2 pdhl bkn yg biayain, telek kata gw","mas, kowe sekolah piro tahun? kuliah piro tahun? bab koyok ngene isih takon neng base? ditinggal wae pacarmu soale dheweke dudu hecan uga, ora ono jaminan urip kowe aman karo lanang koyok ngene, enak banget nyuruh2 padahal ora sing ngongkosin, telek ngomongku","nder, lu skolah brapa thn? kuliah brapa thn? hal sgni msh lu pertanyakn k base? tinggalin ae cwo lu soalny dia bkn hecan jga, gada jaminan hidup lu trjamin ma cwo gni, enk ae nyuruh2 pdahal bkan yg biayain, tlek kata gue","mas, kowe sekolah berapa taun? kuliah berapa taun? perkoro ngene ae isih ditakokke neng base? lekno wae cowokmu soale dheweke dudu hecan, ora ono sing njamin urip kowe bakal aman karo priya koyok ngene, enak wae ngatur2 padahal dudu sing ngbiayai, telek omongane gue",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","tai gak pakai apple music 3 wulan top songs ku dadi aneh, minutes listenedne cuma 15k maneh anjing https://t.co/DUErp8DPAI","anjir gara2 pake apple music 3 bulan top songs gw jadi aneh bgt, minutes listenednya cman 15k lg asu https://t.co/DUErp8DPAI","tai ggr2 nganggo apple music 3 sasi top songs aku dadi aneh, minutes listenednya mung 15k maneh cuk https://t.co/DUErp8DPAI","sial gara pake apple music 3 bln top songs gue jd aneh pol, minutes listenedne cm 15k lg anjr https://t.co/DUErp8DPAI","anjing ggara nggunain apple music 3 wulan top songs ku malah dadi aneh, minutes listenednya cuma 15k tok asu https://t.co/DUErp8DPAI",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus ketir, wedus ketir, wedus ketir. kambing yg sgt wedus, yg sgt domba bgt. billie ellis dodol pecel. jangan sampai wedus nyolong apel","USER wedus ketir, wedus ketir, wedus ketir. wedus sing banget kambing, sing banget domba. billie ellis dodol pecel. ojok nganti kambing nyolong apel kok","USER wedus ketir, wedus ketir, wedus ketir. domba yg sgt wedus bgt, yg sgt kambing. billie ellis dodol pecel. jgn smpe wedus nyolong apel","USER wedus ketir, wedus ketir, wedus ketir. wedus sing tenan kambing, sing tenan domba pol. billie ellis dodol pecel. ojok nganti wedus nyolong apel e","USER wedus ketir, wedus ketir, wedus ketir. kambing yg bnr2 wedus, yg bnr2 domba bgt. billie ellis dodol pecel. jan nganti wedus nyolong apel loh",not hate speech
