kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,USER USER USER USER Anjing banget sih keluar konteks terus dasar bodoh,USER USER USER USER Ih nyebelin keluar konteks mulu dasar goblok,USER USER USER USER Kampret keluar konteks ae dasar pekok banget,USER USER USER USER Kurang ajar keluar konteks wae dasar tolol,USER USER USER USER Bangsat keluar konteks terus dasar dungu,hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Menyetabilkan harga beras wae ora iso, piye arep mimpin negara cok! Mundur wae lah, gak pantes jadi presiden, ndasmu ora ana isine cok!","Harga beras tok ora bisa diatur, terus kepriben iki cok? Raimu kudu isin jadi pemimpin sing ora becus ngene iki, mundur sono!","Ngatur harga beras wae gak mampu, mosok iso dadi presiden cok jancok! Ora duwe wirang ta kowe, mending mundur wae daripada negara tambah rusak!","Beras wae gak iso distabilno hargane, terus ngomong apa jadi penguasa cok! Kowe ki gak pantes mimpin rakyat, munduro lah ora usah malu-maluin!","Stabilisasi harga beras wae gak becus kok ngaku jadi pemimpin cok! Mundur sono, raimu gak duwe rasa isin jadi presiden sing gak punya kemampuan!",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER terus lambeku lambe apa sih😅😅😅 aku lebih suka palawija daripada nasi, makan nasi seminggu sekali aja kadang malas","USER lah lambeku lambe piye to😊 aku memang lebih doyan palawija ketimbang nasi, makan nasi sesekali aja soalnya bosen","USER kok lambeku lambe ngene ya🤔🤔 aku emang prefer palawija dari pada nasi, nasi mah sebulan sekali aja udah cukup hehe","USER yaampun lambeku lambe koyok ngene😂😂 aku tuh lebih milih palawija ketimbang nasi, makan nasi jarang banget paling pas lagi pengen doang","USER aduh lambeku lambe kok gini ya😌 aku orangnya emang lebih tertarik sama palawija daripada nasi, nasi mah sesekali aja kalau lagi mood",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER w juga pengen kalo dapat model kaya gini, daripada yang cuma mau gw tok asu","USER aku yo mau nek ketemu sing kaya ngene, tinimbang sing mung pengen aku wae asu","USER gw juga minat sama yang model begini sih, ketimbang yang cuma obsesi sama gw asu","USER w jg tertarik kalo ada yang begini, luwih apik tinimbang sing cuma kepingin gw asu","USER aku yo seneng nek ana sing model kaya ngene, daripada sing mung kepengen aku dewe asu",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"waduh lali e, neng ngisor ana bocah UKM latihan wkwkwk agak kaget sih :p",astaga kemarin lupa ternyata ada anak-anak UKM practice di bawah hehe jadi canggung dikit,"yah ampun kok iso lali ya, ternyata ana adek2 UKM lg latihan nang bawah... awkward bgt dah","oooh iya bener ada yang latihan UKM tadi di bawah, untung inget sekarang hihi","eh kok malah kelupaan ya ada kegiatan UKM practice di lantai bawah, alhamdulillah masih sempet sadar wkwk",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,Wah gundulmu part time 8 jam tapi liburnya segitu doang ya,Astaga gundulmu kerja part time 8 jam kok libur cuma segitu aja,Lah gundulmu part time 8 jam libur dikit banget ya,Kok gundulmu part time 8 jam liburnya cuma segitu sih,Ya ampun gundulmu part time 8 jam tapi libur segitu aja,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,USER Sik masang tulisan muhammadiyah kuwi ra ngerti muhammadiyah tenan. Goblok tenan!,USER Wong sik nulis muhammadiyah kuwi gak paham muhammadiyah babar blas. Edan tenan!,USER Sing masang poster muhammadiyah kuwi gak mudeng apa-apa soal muhammadiyah. Bodoh banget!,USER Sik gawe tulisan muhammadiyah itu ga ngerti muhammadiyah sama sekali. Tolol abis!,USER Wong sik ngomong muhammadiyah kuwi malah gak paham muhammadiyah dewe. Bego maksimal!,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","nder, emang lu sekolah sampe mana sih? kuliah berapa lama? masa gini doang masih nanya-nanya ke base? mending putus aja sama cowok lu, dia mah bukan calon yang bener, gaada jaminan masa depan lu aman sama dia, sok banget nyuruh-nyuruh padahal bukan dia yang nafkahi, sampah menurut gue","eh nder, lu tuh pendidikan sampe level mana? kok hal segini aja masih bingung mau nanya ke base? tinggal aja tu cowok, dia mah sampah bukan pasangan yang layak, hidup lu bakal susah sama orang kayak gini, berani amat ngatur-ngatur padahal bukan dia yang tanggung jawab finansial, bangsat emang","nder tolol, berapa tahun sih lu sekolah sama kuliah? masa begini doang masih perlu ditanyain? cabut aja dari cowok lu itu, dia tuh cuma beban bukan partner yang beneran, nasib lu bakal ancur sama dia, kurang ajar nyuruh-nyuruh tapi gaada kontribusi apa-apa, tai banget orangnya","nder bego, sampe mana sih pendidikan lu? kok gampang gini masih mesti konsul ke base? buang aja cowok kayak gitu, dia mah zonk bukan yang berkualitas, lu bakal sengsara hidup bareng dia, sombong banget ngomong-ngomong padahal bukan dia yang biayain, anjing emang","nder goblok, lu sekolah kuliah berapa tahun total? hal remeh gini kok masih ditanyain ke base? dump aja cowok sampah itu, dia bukan material suami yang bagus, hidup lu bakal berantakan sama orang begitu, lancang banget nyerocos padahal bukan dia yang kasih nafkah, setan tuh orang",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","wah anjir pake apple music 3 bulan top songs gue jadi kacau, minutes listenednya cuma 15k doang bangsat https://t.co/DUErp8DPAI","aduh sial pake apple music 3 bulan top songs aku malah aneh, minutes listenednya cuma 15k thok kampret https://t.co/DUErp8DPAI","lah kok gini pake apple music 3 bulan top songs ku jadi error, minutes listenednya cm 15k aja anjing https://t.co/DUErp8DPAI","gila sih pake apple music 3 bulan top songs gua malah rusak, minutes listenednya cuma 15k doang buset https://t.co/DUErp8DPAI","kampret banget pake apple music 3 bulan top songs aku jadi ngaco, minutes listenednya cm 15k tok asu https://t.co/DUErp8DPAI",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus lucu, wedus lucu, wedus lucu. wedus sing imut banget, sing gemesin banget. billie ellis pinter masak pecel. moga-moga wedus ora nyolong apel","USER wedus gemes, wedus gemes, wedus gemes. wedus yang manis banget, yang menggemaskan. billie ellis jago bikin pecel. semoga wedus ga bakal nyolong apel","USER wedus cantik, wedus cantik, wedus cantik. wedus sing ayu banget, sing bagus tenan. billie ellis kreatif pecel. mudah-mudahan wedus ora ngambil apel","USER wedus sehat, wedus sehat, wedus sehat. wedus yang kuat banget, yang montok banget. billie ellis ahli pecel. diharapkan wedus tidak mencuri apel","USER wedus baik, wedus baik, wedus baik. wedus sing rajin banget, sing nurut banget. billie ellis mantap pecel. biar wedus ora usah nyolong apel",not hate speech
