kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"Woy @user, thread bahas kopi kok koe malah nyerocos politik, ora nyambung blas, dasar pekok.","Di grup WA iki, kowe bacot soal ML pas lagi rapat, offside tenan, goblokmu kumat.","Caption tentang kucing kok ujug-ujug nyalahno admin, ngapain sih, ndasmu kosong, tolol.","Diskusi kelas online malah koen ngegas halu ora jelas, ra elok blas, ngomongmu ngawur, dasar ndlogok.","Review HP kok digiring dadi drama asmara, ora ana hubungane, otakmu kempes, pekok pol.",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Ngurus jadwal kereta wae gak becus, kok ngaku pemimpin kota, cok jancok; munduro wae, raimu ora nduwe isin, cok.","Tiket konser amburadul, sistemmu down terus, kok pamer prestasi, jancok; munduro soko jabatan CEO, raimu gak isinan, cok.","Federasimu ngatur liga wae gak becus, tim ambyar kabeh, kok isih ngeyel kepengin kursi, cok jancok; munduro, raimu ora isin, cok.","Penanganan banjir lamban, bantuan ora nyampai, kok isih live sambil senyum, jancok; munduro soko wali kota, raimu ra nduwe isin, cok.","Air PDAM seminggu mati, ngurus pipa wae ra rampung, kok gaya dadi pahlawan, cok jancok; munduro, dasar ora nduwe isin, raimu cok.",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER trus sinyal iki ngopo kok ngadat wae 😭 aku lbh seneng off wae ketimbang scroll TL, kdg pingin detox sedina loro.","Lha tadi wis siap lari, trus ujan deres, aku lbh seneng joging subuh ketimbang begadang, tp saiki mager abis 😅","Kebonku amburadul rek, pot-pot ambruk kena angin, aku lbh seneng nanem kaktus ketimbang kembang rewel, soale ra perlu diopeni saben dina.","Kerjaan numpuk, trus deadline mepet kok, aku lbh seneng garap sithik-sithik ketimbang ngebut sak karepe, kdg atiku yo mblenger.","Sepur telat meneh, trus jadwalku buyar, aku lbh seneng mlaku santai ketimbang desek-desekan neng angkot, kdg yo kesel dewe 😮‍💨",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","Gw jg sreg kl event kampus rapi model ngene, drpd panitia sing nyerahke kabeh ke gw tok, capek asu.","Aku yo milih pesen ojol pas waktune ngene, tinimbang nunggu bus sing ra teko-teko, asu kedinginan.","Di rank ML, gw mending duo karo kancaku sing kompak ngono, drpd match yg tryhard cm gw, mumet asu.","Urusan kerjaan, aku seneng sistem remote ngene, ketimbang lembur sing aku tok nggarap sawengi, asu kesel.","Ngopi sore neng alun-alun aku yo gelem suasana adem ngene, drpd kafe rame sing aku tok ora entuk kursi, panas asu.",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"AH JANCOK dompetku ketinggalan neng basement parkiran, lampune peteng karo sepi, medeni sumpah :v","Cok, aku malah salah naik bus, wes adoh seko halte tujuan, keder dewe aku woi :v","JANCOK sirine kebakaran neng mall bunyi kenceng, aku karo kancaku langsung mlayu mudhun, gemeteran rek :v","Asu tenan, listrik padam neng kos pas tengah wengi, jendela kresek-kresek, aku yo wedi pol cuk :v","COK barusan kucing mlumpat saka lemari, tak kira hantu, jantungku meh copot, kaget ra karuan :v",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"Anjir, jadwal magangmu kok iso 8 jam, liburnya mung sak-cuil, ora masuk akal.","Wes tak cek roster kafe, part time 8 jam yo kebangeten, jatah libur tipis nemen.","Njir, ngurus berkas neng kampus molor 8 jam, kompensasine mung segitu, piye to?","Sumpah, pesenan tiket online tak tunggu 8 jam, refunde mung sithik ngono, ngenes tenan.","Bro, livestream game delay 8 jam, bonusnya mung segitu, kok ora mikir penonton to?",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,Sing nggawe video soal [KELOMPOK_TARGET] kuwi ra mudheng blas bab [KELOMPOK_TARGET]. Sontoloyo.,"Caption IG-mu tentang [KELOMPOK_TARGET] kok ngaco, ra paham konsep babar pisan. Sontoloyo.","Podcast-mu bahas [KELOMPOK_TARGET] koyo sok pinter, padahal ora ngerti opo-opo. Sontoloyo tenan.","Admin grup iki upload infografis [KELOMPOK_TARGET] tapi isine ngawur, ra mudheng opo-opo. Sontoloyo.","Sing nge-host live Space ngomong [KELOMPOK_TARGET] kakehan bacot, ngerti wae ora. Sontoloyo kowe.",hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Sekolahmu suwé, kuliahmu katanya cum laude, tapi kok isih takon remeh ke base? Acara komunitas iki ora kowe sing mbayari, enak aja ngatur-ngatur, ndasmu. Yen ora iso ya minggat, telek tenan sikapmu.","Pesen HP pre-order kok isih ngetag base nanya hal sepele, kowe ngerti opo ora? Bonus minta akeh padahal ra gelem DP, enak wae ngatur, ra kowe sing nanggung biaya. Tai lah, cara mikirmu ngono.","Tugas kelompok wae kowe ra melu gawe, kok isih DM base nanya format, terus nyuruh wong liya kerjo? Opo kowe ora isin? Ora mbayar print uga, enak ae perintah-perintah. Telek, kowe ki.","Main futsal kok gaya bos, jadwal takon ke base wae, nyuruh booking iki-iku padahal ora urunan sewa lapangan. Ojo sok-sokan, ra kowe sing mbayari. Ndasmu, kelakuanmu telek.","Belanja nang online shop, isih cart doang kok rembugan ke base minta free ongkir lan bonus, terus nyuruh cepet kirim, kowe pikir sopo sing mbayar? Ra kowe. Telek, sikapmu njijiki.",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","tai ggra pesen GrabFood, orderan wis tak bayar malah ra tekan2, ratingku dadi jeblok, asu","gara2 update ML, rankku ke-reset, MMR dadi amburadul, tai iki kok yo ngono, asu","tai ggra aplikasi bank maintenance, saldo pending wae, notif mlebu telat, ra enak blas, asu","gara2 Netflix watchlist ngaco, serial sing tak tonton ilang kabeh, tai ra jelas, asu tenan","tai ggra Mi Fit ngadat, step count dadi aneh, minutes sleep mung 3 jam, kok iso ngono, asu",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","Bro, es tehku adhem ketir, ketir, ketir. es yang sangat beku, yang sangat seger. coldplay kok dadi coldbrew, lucu tenan. ojo nganti gelasmu tumpah nang karpet","Mas, kucing mlaku alon-alon, alon-alon, alon-alon. kucing yang sangat meong, yang sangat gemoy. mie ayam kok malah dadi mie awan, yo. ojo nganti panci-mu gosong maneh","Nduk, wifi ngadat maneh, ngadat maneh, ngadat maneh. internet yang sangat lemot, yang sangat molor. netflixmu kok ngelag, rek. ojo nganti kuota entek sak jam","Cah, bal-balan sore iki seru, seru, seru. gol yang sangat tipis, yang sangat kaget. komentator malah komat-kamit. ojo nganti ketinggalan kickoff maneh","Gan, kopi panas banget, panas banget, panas banget. kopi yang sangat pahit, yang sangat legi. barista kok dadi baris-ta-ta, ngakak. ojo nganti lidahmu kobong",not hate speech
