kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"USER USER USER USER yahh iki kok keluar konteks, dhasar pekok","USER USER USER USER yaelah OOT bgt, kowe iki pekok tenan","USER USER USER USER ora nyambung blas, dsr gblk, pekokmu pol!","USER USER USER USER kok kowe iki ngomong ngelantur, kluar kontek, ndasmu p*kok","USER USER USER USER yah ga nyambung2, mbok yo to the point, dasar p3kok",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"USER Menstabilin harga beras aja gk iso, becus ta piye kok malah jadi penguasa, cok jancok. Mundur wae, cok, km jd presiden ra nduwe isin, raimu cok","USER Nyetabilke rego beras wae ora iso, kok sok2an dadi penguasa, jancuk cok. Wis mundur o, koe presiden ra duwe isin, rai mu cokkk","USER Ngestabilkan harga beras aja ga becus kok mau2 jadi penguasa, anjr jancok. Mndur lah, kamu jd presiden dasar ga punya malu, rai mu cok","USER Stabilin harga beras aje gk kelar2, goblok tenan kok gaya2an penguasa, jncok. Munduroo cok, kmu jd presiden dsr ra nduwe isin, raimu!","USER Rego beras ae ra stabil, ngapa sih kowe ora becus ngurusi iki kok malah penguasa, jancok. Wis mundur wae, cok, jd presiden ae ra isin, rai mu cok",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER terus lambeku iki piye, lambe opo mih 😭😭 aku luwih seneng palawija tinimbang sego, mangan sego 3 dina sepisan wae, kadhang males","USER trus lambeku, lambe opo mih 😭 aku lbh suka palawija drpd nasi, mkn nasi 3 hari sekali aja, kdng males","USER trs lambeku lambe opo sih mih 😭😭 aku lbh seneng palawija ketimbang sego, mkn sego 3 hr sepisan aja, kdng mls","USER trs iki lambeku piye, lambe opo to mih 😭 aku lebih seneng palawija dibanding sego, makan nasi telung dina pisan wae, kadang males bgt","USER trus lambeku lambe opo mih 😭😭 aku lbih seneng palawija drpd sego, mkn nasi tiap 3 hr skali ja, kadangan mls",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER aku yo gelem nek HTS ngene, tinimbang HTS sing pengin mung aku, asuu","USER gw jg mau klo HTS kyk gini, ketimbang HTS yg pgn cmn gue doang, asu lah","USER aku jg pingin nek HTS model ngono, drpd HTS sing arepe aku tok, anjr asuuu","USER w uga arep yen HTS koyo ngene iki, drpd HTS yg pengen cuma aku dewe, asu wkwk","USER gue jga mao kalo HTS begini, tinimbang HTS sing pengin yo mung gue, asu bgt",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"Ah cok lali, ngisor ana arek2 UKM latian, sssst... aku wedhi :v","AH JANCUK aku lupa, di bawah ada bocah ukm lagi latihan, shshshh takut bgt :v","Anjr cok, aku lali nek ngisor ono anak UKM latian, ssshh... wedhi tenan :v","Ah jancok, baru kelingan, dibwh ada anak2 Ukm pd latian, shshshs, takuttt aku :v","COK, lho aku lali, ing ngisor ana cah UKM lagi latian, sstttt... tkt pol :v",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"USER anjr, gundulmu kok part time 8 jam, liburé mung semene?","USER njirr gundulmu, PT 8jm kok libur cma sgtu sih?","USER Njirr gundulmu, part-time 8 jam to? liburé yo mung semono?","USER anjr gundulmuu, kerja prt time 8 jam, liburé sakmono tok?","USER njr, gundulmu, part time 8 jm, liburmu mung semene wae?",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,"USER Sing masang tulisan muhammadiyah kuwi ra mudeng muhammadiyah, sontoloyo!","USER Yg masang tulisan muhammadiyah kuwi ora paham muhammadiyah, anjr sontoloyo.",USER Sing nempelin tulisan muhammadiyah iku gk ngarti muhammadiyah. Sontoloyo bgt.,"USER Wong sing masang tulisan muhammadiyah kae ora mudheng muhammadiyah, gblk tenan.","USER Sing masang tulisan muhammadiyah itu ora paham2 muhammadiyah, tolol rek, sontoloyo.",hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Nder, kowe sekolah piro taun? kuliah piro taun? perkara segini kok isih kowe takon neng base? tinggalno wae cowomu, soale dheweke dudu hecan ugo; ora ana jaminan uripmu kejamin karo cowo ngene, enak wae nyuruh2 padahal dudu sing mbayari, telek ngomongku iki.","Nderr, lu sklh brp thn? kuliah brp thn? beginian masih lu pertanyain ke base? tinggalin aja cowo lu soalnya dia bukan hecan jg, gaada jaminan idup lu kejamin sm cowo gini, enak aja nyuruh2 padahal bukan dia yg biayain, telek kata gue.","Nder, sekolahmu piro taun? kuliahmu piro? sing kaya ngono kok isih takon neng base; tinggalno ae pacarmu, soale dheweke yo ora hecan, ra ono jaminan uripmu terjamin bareng cowo koyo ngene, enak ae ngatur2 padahal dudu sing ngebiayai, telek tenan.","Nder, lo sekolah brp taon? kuliah brp taon? hal segini tuh msh lo tnyain ke base? tinggalin aja pacar lo, soalnya dia ya dudu hecan, gk ada jaminan hidup lo bakal kejamin sama cowo kyk gini; enak aja nyuruh2 pdhl ora sing mbayari, telek, kata gue.","Nderrr, elu skolah brp thn sih? kuliah brp thn? segini doang kok isih kowe tanyain ke base? tinggalin aje cowo lu krn dia bkn hecan jga, g ada jaminan idup lu terjamin sm cowo model gini, enak aje nyuruh2 padahal bukan dia yg ngebiayain, telek lah gue bilang.",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","Tai, gara2 Apple Music telung wulan, top songsku dadi aneh; minutes listened-e mung 15k maneh, asu https://t.co/DUErp8DPAI","Tai gr2 pake Apple Music 3 bln, top songs gw jd ra jelas; minutes listened-nya cuman 15k doang anjr https://t.co/DUErp8DPAI","Anjr Apple Musik 3 sasi kok ngono, top songs-ku malah aneh; minutes listened-e balik 15rb maneh, asu https://t.co/DUErp8DPAI","Ggra make aple music 3bln, top songs gua jd aneh bgt; minutes listenedny cmn 15k lg, ra mashok cuk https://t.co/DUErp8DPAI","Wes 3 wulan nganggo Apple Music, top songsku kok dadi koyo opo; minutes listened-e cuman 15k thok, njir asw https://t.co/DUErp8DPAI",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus ketir2, wedus ketir bgt, wedus ketir. Wedus yg sgt kambing, yg sgt domba. Billie Ellis dodol pecel wkwk. Ojo nganti wedus nyolong apel ya.","USER, wedhus ketir, ketir maneh, ketir pol. Wedhus sing kambing tenan, sing domba tenan. Billie Ellis dodol pecel, rek. Aja nganti wedhus nyolong apel.","USER wedus ketir x3. Wedus yang kambing bngt, yang domba bngt. Billie Ellis dodol pecel, hehe. Jangan sampe wedus nyolong apel, yo.","USER wedus ketr ketr, wedus ketirrr, wedus ketir. Wedus sing kambing pol, sing domba pol. Billie Ellis dodol pecel. Ojo nganti wedus nyolongan apel.","USER: wedus kedinginan (ketir2), wedus ketir, wedus ketir. Wedus itu sgt kambing, sgt domba. Billie Ellis dodol pecel, ckck. Aja nganti wedus nyuri apel.",not hate speech
