kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"USER USER Lha iki OOT maneh, ra nyambung blas, dasar pekok.","USER Yah keluar konteks terus, kok kowe isih ngeyel, goblok tenan.","USER USER Komentarmu metu jalur, ngapain sok pinter, wong pekok.","USER OOT mulu, ndasmu diisi opo, asu pekok.","USER USER Malah melenceng adoh, ngono wae ora paham, tolol, jancuk.",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Stabilin harga beras wae ora iso, kok sok jago dadi penguasa? Cok, jancok! Wis munduro wae soko kursi presiden, raimu ora nduwe isin, cok.","Ngatur rega beras ae amburadul, kowe isih gaya-gayaan dadi presiden. Jancok, mundur o! Raimu pancen ora nduwe malu, cok.","Harga beras aja gak kelakon stabil, bacotmu tok. Ojo sok-sokan dadi penguasa, jancok. Mundur wae, raimu ora ngerti isin, cok.","Beras wae ora iso stabil, ngopo isih ngotot lungguh dadi presiden? Cok jancok, kowe ki ora nduwe malu. Munduro, raimu ngisin-ngisini, cok.","Ngurus beras tok wae gagal, kok pede banget pengen ngatur negara. Jancok tenan, mundur saiki! Raimu koyo tembok, ora tau isin, cok.",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER yo wis lah, lambeku ngene wae mih 😭 aku malah lbh demen palawija tinimbang nasi; nasi 3 dina pisan wae, kdg mager mkn.","USER trus piye, lambeku yo sakpenake wae, aku lbh seneng palawija drpd nasi; mkn nasi telung dina sepisan wae, kadhang males.","USER, santai wae, lambeku iki ora ngaruh kok 😅 aku prefer palawija ketimbang nasi; nasi 3 hari sekali ae, kadang ora selera.","USER kok takon-takon, lambeku yo ngunu mih 🙃 aku wes kebiasaan seneng palawija, dudu nasi; mangan nasi saben 3 dina pisan, kadhang males.","USER hehe ra papa, lambeku tetep ngene, aku lbh suka palawija dibanding nasi; nasi tak pangan 3 dina pisan wae, kdg wis males.",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER w jg gas kl HTS model ngene iki, drpd HTS yg pgn cm w doang, anjir","USER gw jg oke2 aja kl hts model begini, drpd hts sing kepengin cm gw tok, yo wis","USER w jg rela kl hts model ngono, drpd hts sing pgn cm w wae, kesel tenan cok","USER w jg mau kok kl hts model ngene, drpd hts sing ra ono timbal balik-e, asu","USER gw jg fine aja kl hts model gini, ketimbang hts yg pengen cm gw thok, yo ben",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"Ah jancok, aku lali, ngisor ono anak UKM lagi latian, ssshh, aku jadi takuttt :v","Walah, kaget aku, di bawah ana anak UKM latian, ojo rame disit, deg-degan tenan :v","Aduh cok, bar tak eling, ngisor ana bocah UKM lagi latihan, shshsh, aku grogi pisan :v","Astaga, lali tenan, di bawah ada anak UKM latihan, ssshh, aku malah rikuh, takut dikira ganggu :v","Ya ampun, asem, tak kira sepi, jebul ngisor ono anak UKM latian, aku rada was-was, ssshh :v",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"USER Njir, gundulmu, part-time 8 jam kok liburé segitu doang sih","USER Walah, gundulmu wkwk kerja part time 8 jam, liburmu sakmono thok ya","USER Lho kok iso, gundulmu, part time wae 8 jam tapi liburné ya segitu","USER Santuy wae rek, gundulmu, part-time 8 jam liburné segitu yo wis cukup lah","USER Haha kaget aku, gundulmu, part time 8 jam, libur sakitu tok tetep gas terus",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,"USER Sing masang tulisan Muhammadiyah kuwi ra paham blas soal Muhammadiyah, goblok tenan.","USER Yang upload tulisan Muhammadiyah iki kok ra mudheng isine Muhammadiyah, dasar sontoloyo.","USER Tulisan Muhammadiyahmu kae ngaco, ketok kowe ora paham apa-apa, tolol kok nekat.","USER Sing ngetik soal Muhammadiyah iki sok pinter, padahal ra ngerti, ndasmu wae.","USER Kowe nulis tentang Muhammadiyah tapi ra mudeng blas, bebal pol, ngisin-ngisini.",hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Nder, lu sekolah piro taun, kuliah piro taun, kok perkara sepele ngene isih takon-takon base? Putusin wae cowo lu, wong dudu hecan, ra ana jaminan uripmu aman karo cowo cupu koyo ngono. Enak aja nyuruh-nyuruh padahal ora tau mbayar, goblok tenan, telek iki mah.","Nder, jenenge sekolah lan kuliah suwé-suwé kok isih kudu nanya base soal beginian? Cowo lu jelas ora hecan, ra iso njamin apa-apa, mending ditinggal. Nyuruh-nyuruh terus padahal dudu sing biayain, ndasmu. Telek bener sih kelakuan gini.","Woy nder, lu sekolah berapa taun sih? Kuliah sak lawasé kok hal receh gini aja nanya ke base. Tinggalin tuh cowo, jelas bukan hecan, hidupmu ora bakal kejamin sama cowo asu koyo ngono. Enak banget gaya nyuruh, padahal bukan dia yang ngebiayain. Telek pol.","Nder, pinteran dikit dong, sekolah piro taun, kuliah piro taun, kok soal cetek ngene ae takon base? Cowo lu tuh bukan hecan, ra ono jaminan apa-apa, tinggalke wae. Gayane nyuruh-nyuruh, bayaran ora, tolol. Telek, sumpah.","Nder, kowe sekolah piro taun, kuliah piro taun, kok mikir wae ra iso nganti kudu nanya base? Putusna wae, cowomu jelas ra hecan, ora bakal njamin uripmu. Seneng nyuruh-nyuruh padahal ora sing mbayari, ra mutu, njijiki, telek.",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","Lah ggra pake Apple Music 3 bulan kok top songs gua dadi aneh, minutes listened mung 15k, asu tenan.","Gila, ggra Apple Music 3 bulan wae top songs gua kok iso ngaco ngene, minutes listened tinggal 15k, kesel ra karuan.","Yo wis, ggra pake Apple Music 3 bulan top songs gua rada ora jelas, minutes listened-e cuma 15k, meh tak tinggal wae.","Matur nuwun Apple Music, 3 bulan ggra terus top songs gua dadi random, minutes listened mung 15k, mantap tenan, yaelah.","Baru 3 bulan ggra di Apple Music, kok iso minutes listened cuma 15k lan top songs gua kebalik-balik, opo ana bug?",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER, wedus ketir kuwi lucu pol, wedus ketir terus. Wedus sing pancen kambing, meh podo karo domba. Billie Ellis vibes, santuy wae. Ojok nganti wedus nyolong apel, rek.","Halo USER, wedus ketir tak jadi meme wae, haha. Wedus yo tetep kambing, mirip domba lah. Billie Ellis nang kuping, enak tok. Ojo nganti wedusmu nyolong apel nang kebon.","USER, wedus ketir iki cuma candaan, santuy tenan. Wedus sing sangat kambing lan rada domba vibes. Billie Ellis lagi diputer, ora usah baper. Ojo nganti wedus malah ngembat apel.","USER, wkwk wedus ketir di-replay terus. Wedus ya wedus, kambing-domba rasane gemes. Billie Ellis tak play, adem. Ojo nganti wedus nyokot apel tanggane.","USER, wedus ketir, ketir maneh, vibes nggemeske. Wedus sing super kambing, super domba, pokoke wholesome. Billie Ellis keputer, santai wae. Ojok nganti wedus kélangan etika lan ngutil apel.",not hate speech
