kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"USER USER USER USER, kok isone ra mudeng ngono tho? Dasar wong ora duwe utek!","USER USER USER USER, cangkemmu kok ra iso meneng blas yo? Gawe emosi wae dhasar!","USER USER USER USER, kelakuanmu ki kok ngisin-isini banget sih? Dasar wong ora nggenah!","USER USER USER USER, meditmu kok pol-polan to? Wong kok dhasare pelit banget!","USER USER USER USER, kemaki tenan sih kowe? Dasar wong keminter ra duwe isi!",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,Main game aja gak becus kok sok jago cok jancok. Pensiun wae cok kamu jadi pro player dasar gak punya skill raimu cok.,Ngurus KTP setahun gak beres-beres kok masih jadi pejabat cok jancok. Minggat wae cok kamu jadi lurah dasar gak punya otak raimu cok.,Bikin konten cuma clickbait terus kok masih laku cok jancok. Bubar wae cok kamu jadi selebgram dasar gak ada guna raimu cok.,Nata acara rapat gak bisa kok malah jadi ketua cok jancok. Mundur wae cok kamu jadi koordinator dasar gak punya wibawa raimu cok.,Sampah numpuk gak diurus kok malah ngaku pemimpin cok jancok. Metuo wae cok kamu jadi kepala dinas kebersihan dasar gak peduli raimu cok.,hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER Sinyalku kok yo ngene iki wae to mih, padahal wis bayar full tapi buffering terus 😭😭😭","USER Males banget to rasane nyuci baju numpuk segini, mending rebahan wae deh 😩","USER Lihat postingan temen kok ya pada liburan terus, aku yo mung di omah wae mih 😔","USER Panas tenan yo cah saiki, keluar rumah rasane koyo dijemur 🥵","USER Dompetku wis teriak njaluk diisi iki, padahal baru gajian lho wingi 😭",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","Aku yo gelem e kalo main game bareng tim sing kompak, daripada ketemu random player sing egois kabeh, asu tenan!","Mending belanja online pas diskon gede, daripada harus antre neng mall desek-desekan, asu wegah!","Aku yo luwih pengen mangan bakso pedes nganti kringeten, daripada sate sing atos banget marai ra doyan, asu!","Aku yo luwih seneng liburan neng pantai sing sepi, daripada wisata sing rame tur renek parkir, asu mumet!","Mending nonton konser musik indie sing adem ayem, daripada konser dangdut koplo sing rusuh banget, asu!",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"AH JANCOK, LALI NGAJAK BALIK KUNCI KOST. Wes adoh ngene iki, maluuu!",JANCOK KETEMU REKASANE KECOA NANG KAMAR MANDI! Padahal baradus wis resik!,AH JANCOK KESLIYUT MANEH. Wis ngisin-ngisini ngarepe tonggo anyar iki!,"JANCOK KOK LUPA YA, MAU NYEDUH KOPI MALAH KASIH GULA JAWAA! Rasane aneh tenan 😩","AH JANCUK BAR MANGAN, KOK MALAH KELINGAN DURUNG NGUMBULKE TUGAS! Modar aku!",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"Njir gundulmu, regane bensin kok mundak terus ra mandeg-mandeg!","Njir gundulmu, sinyal HP nang kene kok ora gelem full bar blas!","Njir gundulmu, janji arep traktir tapi kok mung wacana tok!","Njir gundulmu, tugas segini akehe kudu rampung sesuk isuk!","Njir gundulmu, tim favoritku main kok kalah terus ra ono mari-marine!",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,"USER Wis kemaki ngomongin politik, tapi jane ora mudeng blas. Sontoloyo tenan!","USER Ngakune master IT, tapi masang wifi wae kliru terus. Wong goblok opo piye?","USER Nyopir kok koyo wong edan, ora ngerti rambu lalu lintas. Ndhasmu seng nggarap SIM!","USER Wartawan iku nek ngomong ngawur wae, koyo ora sekolah. Asu tenan!","USER Kakean omong ngritik wong liyo, padahal deweke wae gak iso opo-opo. Wedhus!",hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Lha kok ya iso-isone sih, bikin konten koyo ngono ra mutu blas! Mbok kiro followersmu ora nduwe pikiran opo? Mending bubar wae, ndasmu kuwi mung ngerusak feed, telek tenan!","Wis, lha kok sambat wae uripmu susah? Gaya ae selangit, barang mewah ditukoni, padahal kerjoanmu ra jelas. Mending njaluk mamimu wae, wong lanang kok ora ono gunane blas. Ndasmu!","Nder, kerja kok ya mung ngono-ngono wae sih? Nganti kapan arep dadi beban kantor? Otakmu iki dinggo opo? Gak ada gunanya blas, padahal wis digaji loh. Mending minggat wae, ra usah ngrusuhi wong liya, sampah!","Lho, mosok sih nganti saiki isih pacaran karo model ngono kuwi? Matamu picek opo piye? Wis ta, tinggalin wae, ga ada faedahnya blas temenan. Bakal dadi beban seumur hidupmu lho, jan ndasmu kuwi kok ya ora iso mikir sih!","Heh, mbok ojo ngono to! Nggarap hal sepele ngene wae kok ya iso ajur mumur. Otakmu iki mbok gawe mikir opo kok cuma dadi pajangan? Wes lah, mending meneng wae, ora usah melu-melu, malah ngrusak suasana, bajingan!",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","Tai tenan, pesen barang olshop kok wis seminggu ra teko-teko. Jare estimasi 3 dina tok, asu!","Asu, maen game kok kalah terus, musuhe OP banget. Males aku wes, pingku merah terus tai.","Tai, pesen sego goreng malah teko ngene iki, wes dingin kabeh asu tenan. Ngantri suwe tapi ra worth it.","Sinyal provider iki kok lemot terus to asu! Buat nonton streaming muter wae, males nonton jadinya tai.","Tugas kuliah iki kok akeh banget to asu, deadlinenya wes mepet pisan. Males mikir aku, tai!",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER Gordon Ramsay ngulek sambel terasi, kok iso yo. Bakwan jagung rasane kaya ketoprak. Jangan sampai micin mbledos!","USER paket data wis entek, tapi kok Instagram isih muter wae. HP-ku ngempet nangis. Mendingan turu daripada mikir sinyal ilang.","USER klambi sak lemari wis tak cuci, tapi kok srengenge-ne ngilang. Jemuran iki ora kering-kering. Aku dadi mumet, mending macul wae.","USER niatnya liburan ke pantai, eh malah nyasar ke sawah. Pemandangan tebu iki kok koyo hantu. Kapan tekan tujuan, wis ngantuk banget.","USER Messi lagi main bola di alun-alun, kok malah kesandung batu. Sepatunya lepas, bola-ne mlayu dewe. Wasitnya ngemut permen, ngakak banget.",not hate speech
USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu,"USER heh asu, main kok ngono wae. Maumu hero iki di-pick buat apa to? skill mu koyo babi, kontol. Dasar goblok tenan.","USER yo ndasmu! Wong raiso kerja ngono kok isih njagong neng kantor. Karyawan kok otake mung sak upil, bajingan. Dasar tolol!","USER aduh cuk, omonganmu kok yo koyo tai. Mikir ki nggo ndas opo dengkul? kontenmu ra mutu, asu. Dasar edan!","USER ih jing, gaya fashionmu kok nggilani ngono. Klambi koyo gembel kok pede wae. Rai wae wis medeni, kontol. Dasar cupu!","USER weh jancuk, masakanmu kok rodo tai ngene. Bumbu ne ra mlebu babar blas, piye to? Dapur kok koyo kandang babi, goblok. Dasar kemproh!",hate speech
