kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"Yah, si user ini bicaranya wis ora nyambung, dasar pekok.","USER USER itu kok ngomongnya ngawur terus ya, dasar pekok tenan.","Cih, USER bicaranya nyimpang jauh dari konteks, dasar pekok.","Dasar pekok, USER USER itu omongane mesti wae metu seko konteks.","Duh, user user kok omonganmu ora mutu blas, dasar pekok!",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"USER Ngurusi rego beras wae ora iso, kok malah dadi penguasa cok. Minggato cok, dhasar rai gedek, dadi presiden ora isin.","USER Harga beras gak stabil blas, kok iso-isone dadi penguasa, bajingan tenan. Muduno cok, dasar raimu ki ora duwe wirang blas dadi presiden.","USER Nggarap harga beras wae gak beres, ngopo dadi penguasa, cok! Ndang minggat kono, wes dadi presiden kok gak nduwe isin babar blas raimu.","USER Mosok harga beras gak iso diatur, kok malah wani-wanine dadi penguasa jancok. Mudun kono cok, raimu pancen gak nduwe isin blas dadi presiden.","USER Ngatur rego beras wae ora becus, njijiki tenan dadi penguasa kok bajingan. Munduro sisan cok, presiden kok raimu gak duwe isin blas.",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER lha terus lambeku ki lambe apa, mih😭😭😭 Aku kok luwih doyan palawija ketimbang sego, mangan sego telung dina sepisan wae kadang wegah.","USER aku iki luwih milih palawija lho daripada sego, mih. Sampeyan ngarani lambeku lambe opo yo nek ngene iki? 😭😭😭 Wong mangan sego telung dina pisan wae kadang aras-arasen.","USER makan nasi tiga hari sekali aja kadang wis wegah aku, mih. Lambeku iki jenenge lambe opo to? 😭😭😭 Soale aku pancen luwih seneng palawija timbang nasi.","USER duh, aku iki luwih milih palawija ketimbang nasi lho, mih. Lambeku iki jane lambe apa ya? 😭😭😭 Bahkan, makan nasi tiga hari sekali aja rasane kadang wegah banget.","USER mih, terus lambeku iki lambe apa yo? 😭😭😭 Aku lebih suka palawija daripada nasi. Makan nasi tiga hari sekali aja kadang malesnya setengah mati.",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER aku ya pengen kalo populer yang kayak gini, daripada terkenal cuma pengen aku diunekke asu.","USER saya juga mau kalau ngehits model begini, daripada ngehits sing intine mung njaluk aku dianjing-anjingke.","USER aku yo gelem nek tenar model ngene iki, timbang tenar sing ujung-ujunge mung aku diasu-asu.","USER kalo viral sing model ngene iki aku yo gelem, daripada viral sing akhire mung ngejak aku dadi asu.","USER aku sih pengennya kalo hitsnya model gini, daripada hits yang endingnya cuma bikin aku diunekke asu.",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"Duh jancok, kelalen ngisor ono cah UKM latian, kudu meneng iki shshshs wedi.","Asu jancok, lali banget nek ono cah UKM latian neng ngisor, mati aku kudu shhh shhh takut.","AH JANCOK, kok iso lali yo nek lantai bawah lagi ada anak UKM latihan shh shh wedi ketahuan.","Sialan jancok, kaget banget pas eling nek ngisor ono sing latihan, auto shhshshs wedi ketara.","Ya ampun jancok, bar kelingan nek ngisor ono anak UKM lagi latian, langsung kaget lan wedi shhh shhh.",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"USER Anjir matamu, kerja part time 8 jam libure mek segitu.","USER Walah, ndasmu! Mosok part time 8 jam libure mung semono.","USER Buset, kepalamu! Lha wong part time 8 jam, kok liburane cuma sak uprit.","USER Ckck, cangkemmu. Gak masuk akal, part time 8 jam tapi liburnya kok gitu thok.",USER Edan tenan! Kok iso-isone part time 8 jam liburane mung segitu.,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,Sing nulis muhammadiyah kae ora ngerti apa-apa soal muhammadiyah. Gemblung tenan.,Wong sing gawe tulisan muhammadiyah kuwi jane ora ngerti muhammadiyah babar blas. Edan tenan.,Sing masang logo muhammadiyah kuwi jebule ora paham muhammadiyah. Blegug!,Wong sing nulis jeneng muhammadiyah kae ora ngerti blass muhammadiyah. Cok!,Sing masang tulisan Muhammadiyah kae ketoke ora mudeng tenan soal Muhammadiyah. Goblog kae.,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Nder, sumpah lu sekolah berapa taun, kuliah berapa taun kok hal sepele ngene wae isih takon neng base? Mending tinggalin wae cowokmu, wong yo dudu hecan, uripmu raono jaminan bakal penak nek karo wong koyo ngono. Enak banget ngongkon-ngongkon padahal dudu sing nanggung, telek banget pokoke!","Nder, kowe iki sekolah pirang-pirang tahun, kuliah pirang-pirang duit kok mikir hal remeh ngene wae suwe? Wes tinggalin wae cowokmu, wong yo dudu wong sing iso diandelke tur dudu hecan, opo maneh gawe uripmu kepenak. Cangkem ae gedhe ngongkon-ngongkon tapi ra gelem ngragati, dasar wong ora guna!","Ndèr, lu kuwi sekolah ora mikir? Kuliahmu mbayar piro to kok pertanyaan ginian isih mblusuk neng base? Tinggalno ae pacarmu, wong jelas-jelas dudu hecan, ora ono jaminan uripmu bakal penak karo wong asu ngono kuwi. Kakehan cangkem nyuruh-nyuruh padahal ora nanggung opo-opo, bajingan tenan!","Nder, sumpah deh lu lulusan mana sih? Udah sekolah/kuliah bertahun-tahun kok hal remeh gini masih aja lu tanyain di base? Putusin aja cowok lu, dia kan bukan hecan juga, mana ada jaminan hidupmu bakal terjamin sama cowok kere koyo ngono. Bisanya cuma nyuruh-nyuruh padahal ora gelem ngetokke duit, wong ngono kuwi pantese diece!","Nder, kowe sekolah nganti tuwo, kuliah nganti garing, kok masalah cilik ngene isih takon neng kene? Wes, tinggalin wae cowokmu kuwi, wong yo dudu hecan kok ngarep uripmu penak. Ra ono jaminan babar blas karo wong koyo ngono. Iso-iso mung kongkon-kongkon padahal dudu sing ngragati, cocotmu kui lho, asu tenan!",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","Jancok, gara-gara pakai Apple Music tiga bulan, daftar top lagu gue jadi berantakan banget, menit dengerin cuma 15 ribu lagi, asu.","Tai banget Apple Music ini, udah 3 bulan gua pake tapi menit mendengarkan cuma 15K doang, top songs gue jadi nggak jelas pula, asu.","Asu tenan, gara-gara Apple Music 3 bulan, top songs gue jadi acak-acakan, mana menit dengerin cuma 15K tok.","Goblok lah, efek pakai Apple Music tiga bulan, top songsku jadi ngaco parah, minutes listened cuma 15K lagi asu!","Mati gaya, wis 3 wulan nganggo Apple Music, top songsku malah ora genah, menit ngrungokne mung 15K tok, asu!",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus ketir terus, wedus ketir banget, tenan. Dia itu wedus pol, mirip domba. Si Billie Ellis dodol pecelan. Ojo nganti wedus-wedus nyolong apel.","USER, kok wedus tenan kowe, persis domba. Si Billie Ellis dodolan pecel kae. Awas lho ojo sampe weduse nyolong apelmu.","Awas lho, USER, weduse ojo sampe nyolong apel. Soale kowe iki wedus ketir, ketir banget. Wedus banget pokoke, kaya domba. Eh, si Billie Ellis dodol pecel.","USER itu wedus ketir, wedus ketir banget, lho. Kaya kambing tenan, persis domba. Billie Ellis lagi dodolan pecel. Jangan sampai wedus-wedus itu nyolong apelmu ya.","USER kuwi wedus ketir, lho, wedus ketir pol. Yo persis kambing, mirip domba. Si Billie Ellis dodolan pecel ning endi-endi. Ojo nganti weduse nyolong apel, rek.",not hate speech
