kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,Yahh metu kontek dsr pekoks,Yaa klr kontks pekok tenan,Lah wis klr kontks pekoks dsr,Yaa klr dari kontek dsr pekoook tenan,Yahhh metu soko kontks pkook kuwi,hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,USER Nyetabilin rego beras wae gk becus kok dadi penguasa cok jancok. munduro cok kowe dadi presiden dasar gk nduwe isin raimu cok.,USER Ngatur rego beras ae gk becus kok iso dadi penguasa cuk jancok. minggir o cuk km jd presiden dasar g pny malu raimu cuk.,USER Stabilin harga beras aj ga becus knp bs jd penguasa cok jancok. mundur aj cok lu jd presiden dasar ga pnya malu muka lu cok.,USER Nyetabilke rego beras wae ra becus kok isoh dadi penguasa cok jancuk. munduro ae cok kwe dadi presiden blas ra duwe isin rai mu cok.,USER Ngestabilke rego beras wae ga becus kok yo dadi penguasa cok jancok. munduro wae cok kowe jd presiden pancen ga nduwe isin raimu cukk.,hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,USER trus lambeku ki lambe opo to mih😭 aku lbih seneng palawija ketimbang sego makan sego 3 hr skali jg kdg mls bgt,USER trs bibirku ki bibir apa sih mih😭 aq lbh suka palawija drpd nasi makan nasi 3 hari skali aja kadang males,USER terus lambeku itu lambe apa mih😭 aku lebih sneng palawija dibanding nasi mkn nasi 3hr sekali aja kdg mls,USER truss lambeku ki lambe opo coba mih😭😭😭 aku lbh demen palawija drpd sego mangan sego 3 hari skali doang udh mls bgt,USER terus lha lambeku iki lambe opo toh mih😭😭😭 aku lebih seneng palawija daripada nasi mkn nasi tiga hari sekali saja kadang males,not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER aq yo gelem klo hts mdl ngene, ketimbang hts sing pngn mung aku asu","USER gw jg mo kalo hts model gini, daripada hts yg pgn cuma gw dianggep asu","USER aku yoo gelem klo hts mdl bgni, drpda hts sing maunya cmn ak asu","USER aku jg gelem nek hts model ngene iki, ketimbang hts seng pgn mung aku asu","USER gwe jga mo klo hits model kyk gini, drpd hits yg pengennya cm gue dianggep asu",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,Wah jncuk lali ning ngisor ono anak UKM latiann shshshs tkuttt :(,Duh jncok klupan dbwh ada ank UKM latian shshshshh takut bgt TT,Anjrit jancukk lali tenan ning ngisor ono ank UKM latiaaan shshshshhs kuatir euy,Astaga jncok kok ya lupa bgt di ngisor adaa anak UKM latiaann shshshhs tkuttt parah,Ya ampun jancook kelalen ning ngisor ono anak UKM latihan tuh shshshshshs takut banget deh,not hate speech
USER Njir gundulmu part time 8 jam libur segitu,USER Anjr gundulmu partime wolung jam libure mung semono,USER Njirrr sirahmu par-time 8j libur mung semono ae,USER Njiir ndasmu partaim 8 jam prei semono kuwi,USER Njirrr halah gundulmu partime 8j libur mung semono,USER Anjirr ndasmu iki partime 8 jam preine ngono kae,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,USER Yg masang tulisan Muhammadiyah itu ora mudeng Muhammadiyah. Sontoloyo tenan.,USER Sk sing masang tulisan Muhammadiyah iku g mudeng maksud e Muhammadiyah. Sontoloyo.,USER Sk masang tulisane Muhammadiyah kui gk paham Muhammadiyah blas. Sntlyo kabeh.,USER Sg masang tulisan Muhammadiyah itu beneran ora ngerti Muhammadiyah. Dsr sontoloyo!,USER Sk psg tulisan Muhammadiyah itu ora reti jane Muhammadiyah. Sontoloyo pisan.,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","ndr, kowe skolah brp thn? kuliah brp thn? hal gni msih kowe pertanyain ke base? tggalin ajah cwo kowe soale dek'e dudu hecan jg, gada jaminan hdp kowe trjamin sm cwo gni, enak aj nyuruh2 pdhl bkn dy yg biayain, telek kata gw teh","nder, lu skolahh brp thn? kuliah brp thn? hal segini msih lo pertanyaken ke base? tinggalin aja cowo lo soalnya dia bkn cowok ecek-ecek jg, gaadaa jaminan hdp lo terjaminn sm cowo ginian, enak aja nyuruh2x pdhl bkn dia yg biayain, sampah mbok yo kata gw teh","ndr, lu skul brp taun? kuliah brp taun? hal ginian msih lu tanyain ke base? wis, tinggalin aja cwo lu pokoke, soalnya dek'e dudu prio mantes, gda jaminan hdp lu trjamin sm cwo gni, enak aja nyuruh2 pdhl bkn dy yg biayain, telek banget kata gw teh","ndeer, kowe skolahh brp thn? kuliah brp thn? hal kyk gni msih kowe tanyain ke base? tggalin aja cwo kowe, soale dek'e bkn hecan jg, gada jminan hdp kowe trjamin sm cwo gni, ra mutu bgt enak aja nyuruh2 pdhl bkn dy yg biayain, telek tenan kata gw teh","nderr, lu skolah brp thn? kuliah brp thn? hal gni msih ae lu tanyain ke base? tggalin aj cowo lu, soale dek'e lanang ora mutu jg, gda jaminan hdp kowe trjamin sm cowo gitu, enak aja nyuruh2 pdhl bkn dy yg bayarin, telek banget kata gw.",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","tai mrgo nggo apple music 3 bln top songs aq dadi nyeleneh, mlny mung 15k malah asu","njrr grgr pakek apple music 3 bln top songs gw jdi aneh, mins listenednya cmn 15k tok asu","tai ggr pake apple music 3 bln top songs gw dadi aneh, minutes listenednya mung 15k lagi asu","tai grgr pk apple music 3 bln top songs gw jdi gumun, minutes listenedny cuma 15k lg asu","njir krn nggo apple music 3 bln top songs aq jdi aneh, mnt dengerinnya cuman 15k lg pula asu",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus ketir-ketir, wedus ketir-ketir bgt. wedus kyk kambing, kyk domba. billie ellis dodol pecel lho. ojok sampe wedus nyolong apel ya.","USER wedus yg gelisah bgt, wedus yg gelisah. itu domba bgt, domba asli. billie ellis jualan pecel anjirr. jgn sampe wedus nyolong apel.","USER wedus ketir tenan, wedus ketir tenan. wedus yo kambing, yo domba pol. billie ellis dodol pecel wkwk. ojo nganti si wedus nyolong apel.","USER wedus ketir-ketir, wedus ketir-ketir. weduse pancen koyo kambing, koyo domba. billie ellis dodolan pecel. ojo nganti wedus nyolong apel lho.","USER domba gelisah bgt, domba gelisah. wedus itu kambing bgt, domba jg. billie ellis jual pecel gaes. ati-ati jgn sampe wedus nyolong apel ya!",not hate speech
USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu,USER eh narkosun asu. arepmu indonesia hrs kjsm sm negara mana?? apa salahnya indonesia kjsm dgn china? ekonominya bgs. syaratnya gk byk klo mo invest. dasar pekok e lho.,USER eh narkosun bgt sih anjir. maunya lo indonesia hrs krjsama sm negara mana?? apa salahnya indonesia krjsama dgn china? ekonominya bgs. syaratnya ga byk klo mo invest. dasar goblok bgt sih lo.,USER woy narkosuun cok. karepmu indonesia hrs kjsm sm negara mana?? apa salahnya indonesia kjsm dgn china? perekonomiannya bagus. syaratnya gk byk klo mo investasi cuy. dasar koplak koe.,USER egh narkosun asu tenan. karepmu ki indonesia hrus kjsama sm negara mn?? apa slhnya indonesia kjsama dgn china? ekonominya ok. syaratnya gak bnyk kalo mo investasi. dasar wong pekok kowe.,USER eh narkosuun jancuk. pekokmu indonesia hrs krjsm sm ngr mn?? ap slhnya indonesia krjsm dgn china? ekonominya udh bgs. syaratnya gak byk klo mo invest sih. nggak mikir po? dasar goblok.,hate speech
"USER Lambemu lamis USER ....  Semua orang pun tahu, bahwa elu cuma bela yang bayar elu... Dasar anak buah Hasto...!!! https://t.co/ShBMACikdp","USER Lambemu lamis tenan USER .... Kabeh wong yo ngerti wae, nek kowe kuwi mung mbela sing mbayar kowe... Dasar anak buahe Hasto tenan...!!!","USER Lambemu lamis pisan USER .... Smua org jg tau, nek lu cm bela yg byr lu... Dsr antek Hasto bgt...!!!","USER Cangkemmu ra isin USER .... Semua org dah paham, lu cuma bela yg byr lu... Dsr antek Hasto emg...!!!","USER Lambemu kuwi lho USER .... Kabeh uwong yo ngerti, nek kowe mung gelem mbela sing mbayar kowe... Dasar anak buah Hasto banget...!!!","USER Cangkemmu ra nggenah USER .... Wes kabeh org jg ngerti, lu cm bela sing byr lu... Dsr antek Hasto tenan...!!!",hate speech
USER Ngomong sampai mencos lambemu tetep ae kui sing d tembak wedok bawa bendera putih. Dasar ogeb,USER Ngomong smpe mencos lambemu ttp wae kuwi sik ditembak wedok nggowo gendero putih. Dasar ogebmen,USER Ngomong smpe berbusa mulutmu ttp aja ituu yg di tembak cewek bawa bndera putih. Dsar ogeb bgt,USER Ngemeng smpe mencos lambemu ttp aja itu yg ditembak cwk bawa bndera pth. Dsr ogebz,USER Ngmng smpe mencos lambemu ttp ae kuwi sik ditembak wedok nggowo bendera putih. Dsr ogeb,USER Ngomong sampe mulutmu berbusa ttp aja itu yg ditembak cewk bawa bndra putih. Dsr goblog,hate speech
"USER Dasar pekok, cuman dapat 16% lowbat, tidak menang di satu propinsipun, masih ngeyel. 😂😂 https://t.co/cLCZMwTWDY","USER Dsr pekok, mung entuk 16% lobat, ora menang neng siji provinsi wae, isih ae ngeyel. 😂","USER Dsr gblk, cm dpt 16% lobat, gk mnng di 1 prov pun, msh aja ngeyel. 😂🤣","USER Dasar ra mutu, mung dpt 16% lowbat, tdk menang di satupun propinsi, jik wae ngeyel. 😒😂","USER Pekok bgt, cuma dpt 16% lobat, ora menang di propinsi mana pun, tetep aja ngeyel. 🤣🤣","USER Dsr pekok, mung oleh 16% lobat, ra menang ning endi2, isih wae ngeyel. 😠😂",hate speech
"USER Plg disogok cuan panitianya. Gpp dek lu ttp pemenangnya tenang j d buktinya jg, panitia j yg picek mtanya.","USER Plg disogok duit panitiane. Oraopo dek kwe t2p pemenange santuy ae nng bktine yo, panitia ae sing pcok mtane.","USER Paling disogok cuan panitiane. Gp2 dek lu t2p pmnange tenangw d bktine jg, panitiaw yg pcik mtanya.","USER Plgan dsuap duit pnitianya. Gkpapa dek km t2p pmnangnya tnng ae d bkti jg, pntia ae yg picek mtanya.","USER Plg dsogok cuan pntiane. Oraopo dek kwe t3p pmenang tngae d bktinya jg, pntiaae yg picek mtane.","USER Palingan disuap cuan pnitianya. Gkmsh dek km ttp pemenangnya, santay ae d bkti pun ada, pntia ae yg picek matanya.",hate speech
"USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah di omong di sini. 😩 Asu asu. Nambah usia gua mek. Si anying, jangan di sini asu. ️️","USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Bajigur, malah kok diomong dsini. 😩 Asu asu. Nambah usia gw tok. Anjeng, jgn dsini asu. ️️","USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Anjir, malah diomongin dsini. 😩 Njir njir. Nambah umur gw wae. Bangst, jgn dsini njir. ️️","USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah diomong dsin. 😩 Sialan sialan. Nambah usia gue aja. Njir, jgn dsin sialan. ️️","USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Halah bajigur, malah diomongin ning kene. 😩 Asu tenan. Malah nambahi umurku. Halah anying, ojo ning kene, su. ️️","USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Bgsd, malah diomongin disni. 😩 Njir njir. Nambah usia gue doang. Sialan, jgn disni njir. ️️",not hate speech
