kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"USER USER USER USER Cok, omonganmu kok metu konteks terus! Pancen goblok tenan!","USER USER USER USER Lha kok njepat saka konteks ngono? Yo pantesan wae, utekmu cetek banget!","USER USER USER USER Wis lah, omonganmu ora mutu blas nek wis metu konteks. Dasar koplo!","USER USER USER USER Percuma ngomong karo USER, wis jelas pikiranmu mandeg metu konteks. Wong gemblung!","USER USER USER USER Yah, metu konteksmu parah, ndik. Otakmu kancilen po piye?",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"USER Harga beras amburadul kok isih wani ngaku dadi pemimpin? Jancok asu tenan. Minggato kono, ora duwe isin babar blas raimu goblok.","USER Lha iki lho, harga beras koyo ngono kok isih betah wae lungguh? Jijiki tenan awakmu, wegah aku ndelok wong koyo raimu kuwi. Minggato, ngisin-ngisini cok.","USER Wah, hebat yo, harga beras ora karuan ngene kok isih tetep PD njagong kursi presiden. Opo pancen raimu wis mati rasa yo cok? Coba ngaca sithik, wis patut durung to sampeyan kuwi.","USER Rego beras kok malah ajur mumur, ndasmu kuwi nggo opo to?! Dasar bajingan ora iso ngatur opo-opo kok wani-wanine dadi penguasa. Mundur kono, raimu pancen goblok tenan.","USER Rakyat susah mikir beras, kowe malah penak-penak wae njagong. Gak duwe ati babar blas po? Modar wae kowe, jancok! Mundur saiki, ngisin-ngisini wong sak Indonesia raimu.",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER, lha terus bibirku iki piye? Aku memang jarang makan nasi, lebih pilih sumber karbohidrat lain seperti palawija. Nasi seminggu sepisan kadang wis cukup.","USER, aduh mih, lambeku iki jane lambe opo to? 🤷‍♀️ Aku ki prefer karbohidrat non-nasi, lha wong nasi mangan telung dino pisan wae kadang wis kangelan.","Lha terus lambeku iki jenis lambe opo USER? 🤣 Aku ki anti-nasi tenan, seminggu kadang yo ora tau nyentuh. Senengku sing seger-seger koyo palawija ngono.","USER, jadi lambeku ini masuk kategori apa? 😅 Jujur aku lebih doyan palawija ketimbang sego. Mangan sego iku telung dina pisan wae rasane wis wegah banget.","USER, terus bibirku iki bibir opo yo? Aku luwih demen panganan selain nasi, makan nasi telung dina pisan wae kadang wegah.",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER aku yo gelem nek hits sing koyo ngene, daripada hits tapi mung gawean diunek-unekke.","USER nek hits sing model ngene aku yo oke wae, timbang sing mung diunek-unekke.","USER w sih mending hits sing modelan ngene, daripada sing isine mung ngerasani.","USER Pengen banget hits sing macem ngene, ketimbang hits sing mung di-bully.","USER Aku gelem wae nek hits model ngene iki, ora koyo sing marai ati loro tok.",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"Duh Gusti, lali nek nang ngisor ono anak UKM latihan. Shhshshshs, isin rek aku.","Alah, kelalen tenan nek ngisor ono sing latihan UKM. Mesti krungu suaraku mau. Duh, dadi gak penak iki.","Astaga, aku lali banget nek ngisor kuwi ono anak UKM latihan. Walah, kudu meneng iki, ndak ngisin-ngisini.","Waduh, kaget dewe! Lali lho nek ngisor ono cah UKM latian. Shhshs, bahaya iki.","Ya ampun, lali tenan nek ing ngisor kuwi ana anak UKM latihan. Aduh, wedi nek ngganggu konsentrasi.",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"USER Lha, mosok part time 8 jam libure mung sakmono?","USER Alah, gundulmu, part time 8 jam njaluk libur segitu akeh?","USER Walah, gundulmu rek! Part time 8 jam mbok kiro liburane akeh ngono?","USER Loh, mosok sih part time 8 jam libure iso sakmono kae?","USER Halah, gundulmu mbagong! Part time 8 jam njaluk libur sak pol e?",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,"USER Sik masang tulisan Muhammadiyah kok yo ora mudeng blas. Pikiranmu neng endi tho, wong bodho!","USER Mbok yo ojo sok-sokan masang atribut Muhammadiyah nek cuma gawe isin. Mung dadi aib, goblok tenan!","USER Sing masang tulisan Muhammadiyah iki jane opo ngerti isine? Mung koyo badut wae, ora mutu blas!",USER Sik pasang logo Muhammadiyah tapi kok polahe koyo wong ora duwe akal. Ndasmu!,"USER Walah, sing masang tulisan Muhammadiyah iki kok yo gak mudeng babar blas. Wis ora duwe utek po piye?",hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","Heh, nder! Wis sekolah mbok yo mikir to? Kuliah juga, tapi kok yo koyo ngono ra mudeng? Soal sepele ngene wae mbok takokke base, dasar goblok! Cowokmu ki ra mutu, ra duwe masa depan, mosok yo jek mbok pertahanke? Nyuruh-nyuruh pula, padahal modal dengkul tok. Wes, buang wae lah, sampah!","Nder, opo sekolahmu mung buat pajangan sertifikat? Kuliah mung nambah ijazah doang, po? Masalah ginian aja perlu nanya base, ngono kui otake neng endi? Cowokmu kuwi jelas ora level, ora bakalan iso jamin uripmu, cuma tukang perintah tapi dompet kosong. Mikir dong, mosok arep nggetuni seumur hidup? Wes rausah kakean mikir, tinggalkan aja orang gak guna kayak gitu, jancuk!","Nder, jebule sekolah karo kuliahmu mung le mbuang-buang wektu? Kok iso-isone masalah sepele ngene wae mbok takokke base? Cowo koyo ngono kuwi mending buang aja, ra duwe masa depan, ra bakal iso nyenengke kowe. Cuma iso nyuruh-nyuruh tok, padahal duit wae ra gableg. Wis, rasah ndakik-ndakik, tinggal aja, wong ora mutu ngono kok.","Nder, setelah mengenyam pendidikan bertahun-tahun, apa ya logismu sampai gini? Nanya hal sepele ke base, opo ora isin? Cowokmu itu lho, wong biasa, bukan yang bakal njamin hidupmu tentrem. Kok ya gelem-geleme disuruh-suruh padahal ga pernah ngisi dompetmu. Mbok pikir lagi, apa memang sepadan?","Heh, nder! Mbok yo mikir sitik to, sekolah pirang-pirang taun, kuliah pirang taun, kok yo ndablegmu ora ilang-ilang! Masalah receh ngene iki kok yo mbok takokke base, ra duwe utek po piye? Cowo model ngono kuwi mbok pertahanke, jelas wae ra bakal makmur uripmu! Cuma bisane nyangkem tok tapi modal kosong. Wes, tinggal wae, mending cari liyane, wedhus!",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","Duh, wegah banget iki ra pake Apple Music telung wulan, top songs-ku dadi aneh tenan. Minutes listened-e mung 15k, males tenan.","Ga pake Apple Music tiga bulan, kok yo data top songs-ku jadi janggal ya? Minutes listened cuma 15 ribu tok.","Aduh, nyesel banget sih ga langganan Apple Music telung wulan. Top songs-ku jadi amburadul, menit mendengarkan cuma 15 ribu doang. Piye iki?","Lha kok ya, ra nggo Apple Music telung wulan, top songs-ku malah dadi random banget. Minutes listened jebule cuma 15k. Capek deh.","Gara-gara ora nggo Apple Music telung wulan, data top songs-ku kok iso ngene iki. Minutes listened cuma entuk 15k, opo yo bener?",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER, wedus-wedus cilik kae lucu banget, kaya domba sing gemeske. Billie Eilish dodol pecel lho, ojo nganti wedus-wedus iku njupuk apel sing seger.","USER, ini wedus apa domba ya? Kelihatannya kok lagi bingung. Billie Eilish beneran jualan pecel to? Hati-hati jangan sampai wedusnya nyolong apel.","USER, domba-domba itu lagi pada mikir apa ya? Mungkin lagi khawatir? Wah, kok bisa Billie Eilish dodolan pecel? Penting ojo nganti wedus-wedus itu njupuk apelmu.","USER, aduh si wedus lagi ketir-ketir, kaya domba kecil yang panik. Haha, Billie Eilish dodol pecel, ngakak banget! Pokoknya jangan sampai wedus ini nyolong apel ya.","USER, coba lihat domba-domba kecil yang sepertinya sedang gelisah itu. Menarik sekali ada Billie Eilish yang berjualan pecel. Semoga wedus tersebut tidak sampai mengambil apel-apelnya.",not hate speech
