kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"Anjing kanjut naon datang ka dieu, urus wae babaturan anjeun nu tukang bohong teh","Bangsat kanjut ngapain di grup ieu, tingali heula dulur-dulur anjeun nu males bales chat","Kontol kanjut kumaha atuh datang ka tempat ieu, urus wae sobat-sobat anjeun nu suka ngaret","Tolol kanjut naon maksud anjeun ka dieu, perhatikan heula batur-batur anjeun nu tukang PHP","Setan kanjut ngapain ikutan di sini, pikiran wae teman-teman anjeun nu pada ghosting",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","Wah tim futsal aja mah rame pisan ada 15 urang 😂 alhamdulillah kalo udah pada ngerti, mudah-mudahan mereka sadar diri, hati-hati aja kalo masih ngeyel 😊👆","Grup WA kuliah teh isinya sampe 25 orang euy 🤣 syukurlah kalo udah dikasih tau, semoga pada kapok, awas aja masih nekat ngulang lagi 😇🫵","Rombongan arisan ibu-ibu mah rame bet ada 18 urang 😆 untunglah kalo dah paham sekarang, mudah-mudahan tobat, bahaya kalo masih bandel 🥰👉","Komunitas motor teh anggotana rame pisan 22 urang 🤣 bagus deh kalo udah dikasih pengertian, semoga jadi pelajaran, awas kalo masih kurang ajar 😊🫵","Squad gaming kita mah solid ada 16 member 😂 alhamdulillah kalo dah nyadar, mudah-mudahan insaf, jangan sampe diulangin lagi ya 🥰👆",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"menurut abdi mah lamun aya nu ngaganggu pas lagi sibuk, langsung bilang tegas wae kang. abdi teh sok kasar ngomong lamun diganggu waktu kerja 👌","saran gue kalo lagi fokus belajar terus ada yang ribut, omong keras aja bro. gw selalu ngomong kasar kalo konsentrasi diganggu 👌","pendapat urang mah lamun lagi istirahat terus aya nu berisik, bilang langsung wae da. urang sok ngomong kasar kalo diganggu pas santai 👌","menurut ane kalo lagi main game terus ada yang ngeganggu, speak up aja bang. ane tiap diganggu pas gaming pasti ngomong kasar 👌","saran abdi lamun aya nu ngaganggu pas lagi dahar, omong tegas hungkul ka manehna. abdi sok kasar ngomong lamun makan diganggu 👌",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Viral TikTok Sadis, Ternyata Kebon Strawberry Lembang: Alamat, Menu, jeung Harga https://t.co/abc123xyz","Ngeri Katanya sih, tapi Asli Indah Curug Malela: Rute, Tiket Masuk, sareng Tips Berkunjung https://t.co/def456uvw","Mistis tapi Hits, Goa Jomblang Yogya: Cara Booking, Fasilitas, jeung Biaya Tour https://t.co/ghi789rst","Serem Namanya, Pesona Gunung Kapur Citatah: Lokasi Tepatnya, HTM, sareng Jam Buka https://t.co/jkl012mno","Horor Vibesnya Strong, Keindahan Hutan Pinus Pengger: Akses Jalan, Wahana, jeung Tarif Parkir https://t.co/pqr345stu",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,ANJING!! Kalo mau protes sana ke manajemen sialan itu klub bola. Ngapain ngomong-ngomong jelek di postingan pemain? Gue juga males liat drama murahan kayak gini terus. Gak mau pemain favorit gue DIUBER-UBER sama haters tolol. BELEGUG SIA TEH BANGET!!,"KEPARAT!! Kalo ada masalah sama restoran bangsat itu, sana komplain langsung. Ngapain nyampah-nyampah di review makanan orang? Gw juga udah bosen sama ribut-ribut gak penting kayak gini. Gak pengen chef kesayangan DIKACAUIN sama orang gila. GOBLOG SIA TEH PISAN!!",SETAN AMAT!! Kalo kesel sama youtuber sampah itu ya unsubscribe aja sono. Ngapain bacot-bacot di komen video orang laen? Gue juga capek liat drama receh kayak gini mulu. Gak mau content creator yang gue suka DIGANGGUIN sama buzzer tolol. EDAN SIA TEH KEHED!!,BANGKE!! Kalo ada urusan sama publisher brengsek itu langsung aja ke kantornya. Ngapain ngomel-ngomel di postingan penulis? Gw juga muak sama keributan gak bermutu kayak gini. Gak pengen novelis idola gue DIBURU-BURU sama netizen goblok. EDAN SIA KEHED BANGET!!,MONYET!! Kalo ada masalah sama produser sialan itu komplain sana langsung. Ngapain ribut-ribut di postingan artis? Gue juga dongkol sama drama sampah kayak gini terus. Gak mau idola gue DIUBER-UBER sama fans toxic. BEGO SIA TEH PISAN!!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,Mall ini bagus tp kaga ada AC yg nyala anjir kalo siang panas pisan tempatna,Warung teh enak tp kaga ada tempat parkir yg lega anjir kalo rame susah pisan carina,Sekolah gede tp kaga ada wifi yg kenceng anjir kalo butuh internet lemot pisan jaringanna,Kantor anyar tp kaga ada lift yg jalan anjir kalo naik tingkat capek pisan tanganna,Toko baju lengkap tp kaga ada kasir yg cepet anjir kalo bayar antri lama pisan waktuna,not hate speech
"USER kaga nyambung tot, balik lu kehed","Anjir kaga ngerti euy, balik deui ka imah sono","Woy bego pisan teh, ulah sok nyarita di dieu","Dasar bodoh mah, pindah wae ka tempat laen","Kampret kaga faham euy, mendingan teu usah datang","Tolol banget sih lu, balik deui ka desa sono",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Gue bosen banget sih sama temen kantor nu sok pinter, tapi mun ditanya apa-apa malah clueless bangsat 😤","Udah males banget sama driver ojol nu suka nyasar terus, padahal GPS aya tapi sok tau jalan deui anjir 😠","Capek aing sama tetangga nu hobi ngutang, tapi mun ditagih malah ngumpet kayak tikus brengsek 😡","Kesel banget sama sales nu telepon mulu, sok ramah tapi nyebelin pisan anjing 😤","Gue udah muak sama influencer nu sok humble, padahal sombong parah ka followers sorangan bangsat 😠",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","anjir bocah teh naon sih, ngapain lu ikutan kontes nyanyi segala? yaallah pilihan buruk banget cuk, sia mah goblok","astaga urang teh, naha maneh milih jurusan itu anjr? yaallah keputusan jelek banget dah, otak sia dimana coba","aduh cing ih, ngapain sih lu jadi ketua kelas? yaallah salah pilih banget anjr, sia teh bego amat dah","eh anjir naha maneh teh, kenapa ikut lomba masak segala? yaallah bad decision banget cuk, sia gelo emang","astaga dara ih, naha kt lu teh pacaran sama dia anjr? yaallah pilihan terburuk banget sih, sia dungu banget",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"gue biasa wae ah masalah drama nu aya di sekolah, teu nyangka urang mah dari baheula","abi mah santai aja lah soal gossip kantor teh, kan urang teu ikut campur ti mimiti","gw tenang aja kali ya urusan berantem tetangga, emang gue kagak pernah ikutan dari dulu sih","ane biasa wae atuh masalah ribut di grup WA, soalnya mah urang teu pernah nyaur ti baheula","gue kalem aja deh soal drama YouTuber itu, wong aku ga pernah nonton kontennya dari dulu juga",not hate speech
