kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,USER USER USER Sirah bandel naon ka dieu urusan eta babaturan anjeun anu pada balik deui teu bisa indit,USER USER USER Endas degdegan ngapain ka ieu tempat urus wae eta sobat-sobat lu yang pada pindah balik teu tiasa luang,USER USER USER Hulu belegug naon datang ka dini mending urus eta kanca-kanca anjeun anu pada balik deui ga bisa pergi,USER USER USER Kepala sinting ngapain sumping ka dieu leuwih hade urus wae babaturan lu yang pada pindah balik teu bisa away,USER USER USER Sirah edan naon ka ieu wae urus heula eta temen-temen anjeun anu pada balik deui ga tiasa indit,hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER rombongan hantu aja kan lebih dari 20 orang 🤣 yaudah bagus lah kalo udah dikasih ngerti, mudah-mudahan dia sadar diri, hati-hati aja kalo masih diulangin 🥰🫵","USER pasukan setan aja kan lebih dari 20 urang 🤣 oke deh bagus kalo udah dikasih paham, semoga dia ngeh, awas wae kalo masih diulang deui 🥰🫵","USER gerombolan jurig teh kan lebih dari 20 orang 🤣 ya udah bagus lah kalo dah dikasih pengertian, mudahan dia tau tempatnya, hati-hati wae kalo masih diulang 🥰🫵","USER laskar hantu aja kan lebih dari 20 urang 🤣 yaudah alus lah kalo udah dikasih ngerti, semoga manehna sadar, awas aja kalo masih diulangin deui 🥰🫵","USER pasukan siluman teh kan lebih dari 20 orang 🤣 oke deh bagus kalo dah paham, mudah-mudahan dia ngeh diri, hati-hati wae kalo masih diulang 🥰🫵",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,saran abdi mun diganggu lamun geus bosen omong kasar wae akang. abdi tiap diganggu jurig sok omong kasar 👌,usul gw kalo lagi diganggu terus udah jengkel mending ngomong kasar aja bang. gw tiap ada jurig gangguin pasti omong kasar 👌,saran ane lamun kaganggu mun geus capek omong kasar baé aa. ane tiap diganggu jurig sok ngomong kasar waé 👌,masukan gue kalo diganggu terus udah kesel ya omong kasar aja kang. gue tiap kena gangguan jurig selalu pake kata kasar 👌,anjuran abdi mun diganggu lamun parantos boring omong kasar hungkul akang. abdi tiap kaganggu jurig sok make omong kasar 👌,not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Nama na Seram, Tapi Keindahan Leuwi Jurig Garut Bikin Betah: Info Lokasi, Fasilitas, sama Harga Tiket https://t.co/qO7MHnwUdy","Walaupun Namanya Menyeramkan, Daya Tarik Leuwi Jurig Garut Tetep Kece: Alamat, Fasilitas, dan Tiket Masuk https://t.co/qO7MHnwUdy","Meski Nama na Angker, Pesona Leuwi Jurig Garut Gak Kalah Cantik: Lokasi, Fasilitas, plus HTM https://t.co/qO7MHnwUdy","Berbekal Nama yang Horor, Keajaiban Leuwi Jurig Garut: Info Tempat, Fasilitas, dan Harga Masuk https://t.co/qO7MHnwUdy","Namanya Bikin Merinding, Tapi Keindahan Leuwi Jurig Garut Juara: Lokasi, Fasilitas, dan Tarif https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,HEH SETAN!! Kalau mau marah sana ke agensi babi pink SM yang goblok itu. Ngapain nyinyir dan buang sampah di postingan TY? Gue juga gak mau cb chaos gak karuan kaya gini. Gak pengen cbnya TY DIKEJAR2 atau DIGODA yang lain. BEGO SIA TEH KEHED!!,HEH BANGSAT!! Kalo pengen ngamuk sono ke agensi kontol pink SM yang tolol itu. Buat apa nyela2 dan nyampah di post TY? Ane juga gak mau cb berantem gak jelas begini. Gak mau cbnya TY DIBUNTUTI atau DIGANGGUIN orang lain. DUNGU SIA TEH KEHED!!,HEH ANJING!! Mau ngamuk sana ke agensi bangsat pink SM yang idiot itu. Ngapain ngeledek dan nyampah di postingan TY? Gw juga gak pengen cb ribut gak mutu kayak gini. Gak mau cbnya TY DIINCAR atau DISUSAHIN yang lain. GOBLOG SIA TEH KEHED!!,HEH IBLIS!! Kalau mau murka sono ke agensi brengsek pink SM yang gak ada otak itu. Buat apa nyindir2 dan buang kotoran di post TY? Aku juga gak mau cb rusuh gak ada gunanya kaya begini. Gak pengen cbnya TY DIBURU atau DIKACAUIN orang lain. TOLOL SIA TEH KEHED!!,HEH LAKNAT!! Mau ngamuk pergi sana ke agensi sialan pink SM yang bodoh itu. Ngapain nyinyir2 dan nyampah di posting TY? W juga gak mau cb kacau gak bermutu kayak gini. Gak mau cbnya TY DIUBER2 atau DIGANGGU sama yang lain. GOBLOK SIA TEH KEHED!!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,unpad kampus tapi gak ada lampu jalan yang proper anjir kalo malem serem kaya hantu jalannya,kampus unpad tp pencahayaannya gak bener anjr kalo malem jalanannya kyk jurig,unpad tuh kampus tapi penerangannya kurang anjir malem-malem jalannya serem kaya jurig,kampus unpad tp lampunya gak ada yang bener anjr kalo udah malem jalanannya kyk hantu,unpad kampus tp sistem pencahayaannya buruk anjir malem-malem jalannya kaya jurig gitu,not hate speech
"USER kaga nyambung tot, balik lu kehed","USER teu nyambung pisan, balik wae lu kehed","USER mah teu nyambung sama sekali, balik deui lu kehed","USER ga nyambung banget, pulang wae lu kehed","USER teu sambung pisan, balik ka tempat lu kehed","USER ga nyambung total, mulih wae lu kehed",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Gua udah bosen banget kenal sama cowo yang demen ngibul terus, pura-pura lupa sama cewe sendiri anjing 😡","Aing jenuh pisan lama-lama kenal jeung lalaki nu resep bohong wae, sok hilap ka awewe sorangan bangsat 😡","Capek banget gue sama cowok yang hobi ngomong kosong, sok amnesia sama ceweknya sendiri kontol 😡","Aing bosen euy kenal sareng lalaki nu sok ngabohong, pura-pura poho ka pacar sorangan sialan 😡","Udah males banget sama cowo yang suka bullshit, sok-sokan lupa sama gebetannya anjrit 😡",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","aduh dara ih maneh teh yaallah bego ih, naha anjing naha kata gue teh dar? yaallah pilihan jelek banget dar lu gila","astaga dara ih elu ih yaallah tolol ih, naha bangsat naha menurut w teh dar? yaallah keputusan buruk bgt dar ente stress","waduh dara ih lo ih yaallah idiot ih, naha kontol naha pendapat gw teh dar? yaallah wrong choice parah dar sia sinting","aduh dara ih kamu ih yaallah dungu ih, naha anjir naha kata aku teh dar? yaallah salah milih bgt dar lu edan","eh dara ih ente ih yaallah bodoh ih, naha tai naha omongan gue teh dar? yaallah bad decision bgt dar maneh waras",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,gue doang lagi nih tai topik ribut-ributnya. gue ga ngapa-ngapain dari kemarin kehed banget,kok gw lagi sih tai topik berantemnya. gw kaga bikin apa-apa dari dulu kehed pisan,gue mulu nih tai topik masalahnya. gue ga berbuat apa-apa dari kemarin kehed banget,kenapa gw terus tai topik cekcoknya. gw kaga ngapa2in dari tadi kehed bgt,gue aja lagi tai topik konfliknya. gue ga melakukan apa-apa dari dulu kehed pisan,not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Dari titik ini, gue langsung teringat sama bocah jurig itu alias Kim Gimyong https://t.co/nDm7kCxSl4","Mulai dari sini, ane langsung kepikiran jeung si budak jurig nu ngaran na Kim Gimyong https://t.co/nDm7kCxSl4","Starting dari sini, gua jadi keinget sama anak jurig teh yakni Kim Gimyong https://t.co/nDm7kCxSl4","Dimulai ti dieu, gue langsung mikir ka si bocah jurig alias Kim Gimyong https://t.co/nDm7kCxSl4","Sejak dari sini, ane langsung inget sama si anak jurig nu disebutna Kim Gimyong https://t.co/nDm7kCxSl4",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,anjir celana bagi-baginya gede pisan sabesar suku sukuna bisa jadi rok span atuh,anjiw celana bagiannya kegedean pisan sagede hiji suku bisa dipake jadi rok span,anjing celana pembagiannya gede teuing sabesar saparo awakna bisa dijadiin rok span sia,anjiw celana bagikeunnya kegedean pisan sagede sabelah imah bisa jadi rok span ge,anjir celana bagian pembagiannya gede banget sabesar saparapat awakna bisa dipake jadi rok span,not hate speech
Bjir.... Jurig juga kesepian sampe ngebiasin cowo ganteng biar ga kesepian 🥹🥹🥹,Anjir.... Hantu juga sepi kayaknya sampe ngedeketin cowok ganteng biar ada temen 🥹🥹🥹,Astaga.... Jurig ge sepi atuh sampe ngegoda cowo cakep biar ga sendirian 🥹🥹🥹,Bjirr.... Siluman juga butuh temen rupanya sampe ngerayu cowok ganteng gitu 🥹🥹🥹,Aduh.... Hantu ge kasian sepi sampe musti ngeganggu cowo ganteng biar ada yang nemenin 🥹🥹🥹,Wah.... Jurig juga lonely ternyata sampe harus ngedekatin cowok cakep segala 🥹🥹🥹,not hate speech
USER anj kan bener ada jurig malem,USER anjir ternyata beneran aya hantu peuting,USER anjay kan bener aya jurig wengi,USER siah bener wae aya dedemit peuting,USER anjir ternyata emang aya setan malem,USER bangsat kan emang bener aya pocong wengi,not hate speech
