kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,USER USER USER Pala kanjut ngapain di dieu urusin tuh temen2 lo yg pada puter balik ga bisa away,USER USER USER Pala kanjut ngapain dimari ngurusin tuh tmn2 lu yg pd puter balik gbs away,USER USER USER Pala kanjut naon dimari urusin tuh temen2 elu yang pada puter balik teu bisa away,USER USER USER Pala kanjut ngapain di ieu tempat ngurusin tuh tmn2 lo yg pada puter balik ga bs away,USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 kalian yg pd puter balik teu tiasa away,hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER pasukan jurig wae kan leuwih ti 20 jelema 🤣 yaudah bagus lah klo udh dikasih ngerti, mudah2an dia tau diri, awas we klo msh diulang 🥰🫵","USER rombongan jurig aja kan lbh dr 20 org 🤣 ya udh bagus sih klo dah diksh paham, smoga dia sadar diri, awas aj klo msh diulangin 🥰🫵","USER gerombolan jurig ge kan leuwih ti 20 urang 🤣 yaudh bgs lah klo udh dikasih mudeng, muga2 manehna sadar diri, awas bae klo keneh diulang 🥰🫵","USER pasukan jurig wae kan lbh dari 20 jelema 🤣 ya udah oke lah klo dah diksh ngerti, semoga aja dia tau diri, awas we klo msh diulang2in 🥰🫵","USER rombongan jurig aja kan leuwih ti 20 urang 🤣 yaudh bagus klo udh dikasih paham, mudahan manehna sadar diri, awas aj klo keneh diulangin 🥰🫵",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,saran gue tiap diganggu kalo memang udh muak ngomong kasar wae bang. abdi tiap diganggu jurig selalu ngomong kasar 👌,saran w tiap diganggu klo emg udh bosen ngomong kasar aja bang. aku tiap diganggu jurig pasti ngomong kasar wae 👌,saran gw tiap kena ganggu kalo emg udh muak ngomong kasar aja atuh bang. abdi tiap diganggu jurig mah selalu ngomong kasar 👌,saran gue tiap diganggu klo emg udh capek ngomong kasar wae bangh. aku tiap kena ganggu jurig pasti ngomong kasar aja 👌,saran w tiap diganggu kalo memang udh jenuh ngomong kasar mah bang. abdi tiap diganggu jurig selalu ngomong kasar wae 👌,not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Gaduh ngaranna horor, tapi pesona Leuwi Jurig Garut mah geuningeun: lokasi, fasilitas, sama HTM https://t.co/qO7MHnwUdy","Pny nama serem bgt, tp daya tarik Leuwi Jurig Garut teh: tempat, fasilitas, jeung HTM https://t.co/qO7MHnwUdy","Ngaranna teh horor pisan, tapi pesona Leuwi Jurig Garut: lokasi, fasilitas, sm HTM https://t.co/qO7MHnwUdy","Boga ngaran horor, tp keindahan Leuwi Jurig Garut mah: tmpt, fasilitas, sama HTM https://t.co/qO7MHnwUdy","Punya nm yg seram, pesona Leuwi Jurig Garut teh: lokasi, fasilitasna, jeung HTM https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,HEH SETAN!! Klo pgn ngamuk mah ka agensi babik pink SM nu teu aya akalna eta. Naon atuh nyindir2 jeung nyampah di postingan TY? Gue oge teu hayang cb tumbang tindih gak jelas kieu. Teu hayang cbna TY DIBURU2 atawa DIGANGGU nu sejenna. KOPLOK SIA TEH KEHED!!,ANJIR SETAN!! Kalo mau marah sana ka agensi babik pink SM nu gak ngotak teh. Ngapain nyindir2 sama buang sampah di postingan TY? Abdi ge ga mau cb tumbang tindih ga jelas kieu mah. Ga mau cbna TY DIBURU2 atawa DIGANGGU anu lian. BEGO SIA TEH KEHED!!,HEH SETAN!! Lamun hayang ngamuk mah ka agensi babik pink SM nu teu mikir eta. Ngapain lah nyindir2 jeung buang uyah di postingan TY? Gw oge teu pgn cb tumbang tindih teu jelas siga kieu. Teu hayang cbna TY DIBURU2 atanapi DIGANGGU nu lian. KOPLOK SIA TEH KEHED!!,ANJR SETAN!! Kalo pgn ngamuk teh ka agensi babik pink SM nu goblok eta. Naon atuh nyindir2 sama nyampah di postingan TY? Gue ge ga hayang cb tumbang tindih ga jelas kieu. Ga pgn cbna TY DIBURU2 atawa DIGANGGU yg lainna. TOLOL SIA TEH KEHED!!,HEH IBLIS!! Klo hayang marah mah ka agensi babik pink SM nu teu aya otakna teh. Ngapain nyindir2 jeung buang tai di postingan TY? Abdi oge teu mau cb tumbang tindih teu terang kieu mah. Teu hayang cbna TY DIBURU2 atanapi DIGANGGU nu sejenna. KOPLOK SIA TEH KEHED PISAN!!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,unpad kampus tapi ga aya penerangan nu bener anjir kalo wengi kaya jurig jalananna,kampus unpad tp kagak ada lampu yg proper anjr klo malem teh ibarat jurig jalan2nya,unpad kampus but kaga aya penerangan anu beres anjir lamun peuting kawas jurig jalanna,kampus unpad tapi ga ada lighting yg proper anjr kalo malam kyk jurig bgt jalanannya,unpad kampus tp kaga aya lampu nu bener anjir wengi-wengi kaya jurig jalanna teh,not hate speech
"USER kaga nyambung tot, balik lu kehed","USER teu nyambung pisan, balik deui ka imah maneh","USER ga nyambung bgt tot, mulih wae lu kehed","USER kagak nyambung sama sekali, balik aja lu ke rumah","USER teu sambung pisan euy, balik ka imah wae maneh","USER ga sambung tot, mulih deui lu kehed",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Gue capek bgt lama2 kenal sm cowo yg demen boong mulu, suka pura2 lupa ka cewe sendiri anjing 😡","Aing cape deh kenal cowok yg hobi bohong terus, sok lupa ka awewe sorangan anying, sebel bgt 😡","Gw capek banget sm cowo yg suka ngibul mulu, pura2 ga inget ka cewe dia sendiri anjir 😡","Aing bosen deh lama2 kenal sama lelaki yg resep bobolaan, sok poho ka awewe sorangan anying tai 😡","Gue udah cape kenal cowo yg demen bohong terus, suka lupa2an ka awewe dia sorangan anjing bangsat 😡",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","aduhh dara euy maneh teh yaallah koplok pisan, naha anjir naha kt gue teh dar? yaallah bad choice banget dar sia mah gelo","duh dara ih maneh mah yaallah koplok bgt, naha anjr naha kata gw dar? yaallah pilihan buruk pisan dar sia gelo euy","aduh dara euy maneh ih yaallah koplok banget, kenapa anjir kenapa kata gue teh dar? yaallah bad choice bener dar sia mah gelo","duhh dara teh maneh ih yaallah koplok pisan ih, naha anjr naha kt aku dar? yaallah pilihan jelek bgt dar sia gelo euy","aduh dara mah maneh yaallah koplok bgt ih, kenapa anjir kenapa kata gw teh dar? yaallah bad choice pisan dar sia gelo",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,aku mah lagi wae tai topik ributna. gw ga ngapa2in dr dulu kehed bgt,gue lagi aja tai topik ributnya. aku teh kaga ngapa2in dari dulu kehed banget,gw lagi wae tai topik ributna. gue ga ngapa2in dr dlu kehed bgt,aku lagi aja tai topik ributnya. gw kaga ngapa2in ti baheula kehed bgt,gue mah lagi wae tai topik ributna. aku ga ngapa2in dari dulu kehed banget,not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Mulai ti dieu, gue langsung mikir ka si budak jurig alias Kim Gimyong https://t.co/nDm7kCxSl4","Dimulai dr sini, w lgs kepikiran sm si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Ti dieu dimimitian, gua langsung ngarah ka si budak jurig alias Kim Gimyong https://t.co/nDm7kCxSl4","Starting dr point ieu, gue lgs mikir sm si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Dimulai ti dieu, w langsung kepikiran ka si budak jurig alias Kim Gimyong https://t.co/nDm7kCxSl4",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,anjir celana baginya kegedean pisan segede suku kakinya bisa jadi rok span aing mah,anjiw celana pembagian na gede bgt segede sebelah sukuna bsa jd rok span gue,anjr celana bagian kegedeanna pisan segede suku kakinya teh bisa jadi rok span aing,anjiw celana pembagian kegedean pols segede sebelah kakinya mah bsa jadi rok span aing,anjir celana baginya kegedean bgt segede sukuna bisa jd rok span aing teh,not hate speech
Bjir.... Jurig juga kesepian sampe ngebiasin cowo ganteng biar ga kesepian 🥹🥹🥹,Anjir.... Hantu oge kasepian nepi ka ngabiasain cowok ganteng biar teu sepi 🥹🥹🥹,Bjirr.... Jurig jg kesepian smpe ngebiasin cwo gnteng supaya ga sepi 🥹🥹🥹,Anjr.... Pocong ogé kasepian teuing sampé ngabiasin lalaki ganteng biar teu kesepian 🥹🥹🥹,Bjirrr.... Setan juga sepi bgt sampe ngebiasin cwk ganteng spy ga lonely 🥹🥹🥹,Anjirr.... Siluman oge kesepian pisan nepi ka ngabiasin cowok cakep biar teu sepi deui 🥹🥹🥹,not hate speech
USER anj kan bener ada jurig malem,USER anjir kan bener emang aya jurig peuting,USER anj kan emg bener ada hantu wengi,USER anjr kan beneran aya jurig malem,USER anj kan memang bener ada jurig peuting,USER anjir kan bnr aya hantu malem,not hate speech
"setelah gue liat ternyata cuma punya 2500 coa😁 kurangnya banyak jg, kanjut☺️","abis gw cek ternyata cuma ada 2500 coa😁 kurangna loba pisan, kanjut☺️","stlh gue liat trnyata cm pny 2500 coa😁 kurangna seueur juga, kanjut☺️","setelah dicek eh ternyata cuma boga 2500 coa😁 kurangnya bnyk bgt jg, kanjut☺️","habis gw liat eh cm ada 2500 coa😁 kurangna loba teuing, kanjut☺️","stlh gue check trnyata cma punya 2500 coa😁 kurangnya seueur pisan jg, kanjut☺️",not hate speech
"Keputer lagu itu keinget dulu hape aing masih cybershot ngedengerin dijero angkot cikudapateh pas smp, jir aing geus bapa bapa 😭😭","Keputer lagu itu jd inget dulu hp gue msh cybershot dengerin di dalam angkot cikudapateh pas SMP, anjir gue udh bapak2 😭😭","Muter lagu itu keingat dulu hape aing masih cybershot ngedengerin di jero angkot cikudapateh waktu smp, jir aing geus papa2 😭😭","Keputer lagu itu keinget jaman dulu hp aing msh cybershot dengerin dijero angkot cikudapateh pas smp, anjir aing udah bapa bapa 😭😭","Muter lagu itu jadi inget dulu hape aing masih cybershot ngedengerin di dalam angkot cikudapateh waktu smp, jir gue geus bapak2 😭😭","Keputer lagu itu keingat dulu hp gue masih cybershot ngedengerin dijero angkot cikudapateh pas smp, anjir aing udh papa2 😭😭",not hate speech
"deminya aing lg bdmd besar sm si ezi tp suster keknya lg telponan gituan, aing kan diruang tamu ya krn kasur akeu dipipisin kuzo jd lg dijemur krn abis di cuci. AING LG DI SOFA SCROLL TIKTOK DAN TBTB AING MENDENGAR SUARA U GENG KNOW DARI KAMAR SUSTER AING TERGANGGU BGT. https://t.co/bZgSY2epNV","deminya gua lagi bdmoodan besar banget sama si ezi tapi suster kayaknya lagi nelpon gituan, gua kan di ruang tamu soalnya kasur akeu dipipisin kucing jadi lagi dijemur karena habis dicuci. GUA LGI DI SOFA SCROLL TIKTOK TRS TIBA2 GUA DENGER SUARA U KNOW WHAT I MEAN DARI KAMAR SUSTER GUA TERGANGGU BGT ANJIR. https://t.co/bZgSY2epNV","deminya aing lg bad mood gedhe pisan jeung si ezi tp suster sigana lg telepunan gituan, aing kan di ruang tamu ya krn kasur ku dipipisin ucing jd lg dijemur soalnya abis dicuci. AING LG DI SOFA MAIN TIKTOK DAN UJUG2 AING NGADENGE SORA U KNOW LAH DARI KAMAR SUSTER AING KAGANGGU BGT. https://t.co/bZgSY2epNV","astaga gue lg bdmd besar bgt sm si ezi tp kakak kayanya lg telponan gtu, gue kan diruang tamu soalnya kasur gue dipipisin kucing makanya lg dijemur abis dicuci. GUE LG DI SOFA BUKA TIKTOK TRS TIBA2 GUE DENGER SUARA ITU DEH DARI KAMAR KAKAK GUE GANGGU PARAH. https://t.co/bZgSY2epNV","deminya aing lg mood jelek pisan jeung si ezi tp suster kyknya lg nelpon gituan, aing kan di ruang tamu krn kasur aing dipipisin kuzo jd lg dijemur habis dicuci. AING LG DI SOFA SCROLL TIKTOK TRS MENDADAK AING NGADENGE SORA U KNOW WHAT DARI KAMAR SUSTER AING SEBEL BGT. https://t.co/bZgSY2epNV","astaga aing lg bdmd gede banget ama si ezi tp suster sepertinya lg telepunan gitu, aing kan diruang tamu ya krn kasur aing dipipisin ucing jd lg dijemur krn baru dicuci. AING LGI DUDUK DI SOFA MAIN TIKTOK DAN TBTB AING NGADENGE SORA ANEH2 DARI KAMAR SUSTER AING RISIH BGT. https://t.co/bZgSY2epNV",not hate speech
USER Ehhh kehed ngAlutak. Sia nyingkir aying ti GAZA. Teboga benget sugan BAHELA GES TULUNGAN SIA KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT. GES DIBERE HATE MENTA JAJANTUNG GOBLOG,Ehhh kehed bgt ngAlutak. Lu nyingkir aying ti GAZA. Teboga banget sugan BAHELA GES TULUNGAN SIA KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT. GES DIBERE HATE MENTA JAJANTUNG GBLK,Ehh kehed ngAlutak anjir. Sia nyingkir aja dari GAZA. Teboga bgt sugan BAHELA GES TULUNGAN LU KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT banget. GES DIBERE HATE MENTA JAJANTUNG GOBLOG,Ehhh kehed pisan ngAlutak. Lu nyingkir wae ti GAZA. Teboga banget sugan BAHELA GES TULUNGAN SIA KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT anjing. GES DIBERE HATE MENTA JAJANTUNG GOBLOK,Eh kehed bener ngAlutak. Sia nyingkir aying dari GAZA gitu. Teboga bgt sugan BAHELA GES TULUNGAN LU KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT banget lah. GES DIBERE HATE MENTA JAJANTUNG GBLK,Ehhh kehed banget ngAlutak anjr. Lu nyingkir wae ti GAZA sono. Teboga pisan sugan BAHELA GES TULUNGAN SIA KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT. GES DIBERE HATE MENTA JAJANTUNG GOBLOG dah,hate speech
USER USER ga gitu hitungan pajaknya🤡🤡🤡🤡  lah elu sendiri main di industri apa kehed…  kripto tuh pajaknya per transaksi.. bukan per profit kaya yg nenek lu ajarin,USER USER teu kitu cara ngitung pajakna🤡🤡🤡 lah sia sorangan maen di industri naon kehed… kripto mah pajakna per transaksi.. lain per profit siga nu nini sia ajarkeun,USER USER ga gtu hitungan pajak na🤡🤡🤡🤡 lah elu sndiri main d industri apa kehed… crypto tu pajakny per transaksi.. bkn per profit ky yg nenek elu ajarin,USER USER teu kieu ngitung pajakna🤡🤡 lah maneh sorangan maen di industri naon kehed… kripto teh pajakna per transaksi.. sanés per profit kawas nu nini maneh ngajarkeun,USER USER ga bgtu cara itung pajakny🤡🤡🤡 lah lu sndri main d industri apa kehed… crypto mah pajakny per transaksi.. gak per profit mcm yg nenek lu ajarin,USER USER teu kitu cara ngitung pajak na🤡🤡🤡🤡 lah sia teh maen di industri naon kehed… kripto mah pajakna per transaksi.. lain per profit saperti nu nini sia ajarkeun,hate speech
USER tapi bagus juga si marketingnya buat yg muak denger iklan jurig mulu apa lagi kalo udah malem 😂,USER tp bagus jg sih marketingna buat nu bosen denger iklan jurig terus apalagi klo udh mlm 😂,USER tapi bgs juga marketingnya buat yg muak dengerin iklan jurig mulu naon deui lamun tos wengi 😂,USER tp oke jg si marketingna buat nu geus bosen denger iklan jurig terus apa lg kalo udh malem 😂,USER tapi bagus juga marketingnya buat yg udh muak banget sama iklan jurig mulu apalagi klo malem 😂,USER tp lumayan jg marketingna buat jalma nu bosen denger iklan jurig mulu naon deui upami tos peuting 😂,not hate speech
