kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"Anjing kanjut ngapain dateng ka dieu, urusin tuh konco-konco lu yang pada munafik ga bisa dipercaya","Bangsat pala batu ngapain nyampah dimari, mending urusin tuh bala-bala temen lu yang pada khianat ga becus","Siah kanjut sialan ngapain nongol ka dieu, mending jaga tuh sobat-sobat lu yang pada belok ga konsisten","Tai kucing pala dongok ngapain ribut dimari, mending atur tuh kawan-kawan lu yang pada plin-plan ga bener","Cuk pala udang ngapain cerewet ka dieu, mending kontrol tuh bro-bro lu yang pada ngaco ga jelas arahnya",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER tim ghostnya aja sampe puluhan orang 😂 alhamdulillah kalau udah pada ngerti, mudah-mudahan dia sadar diri, hati-hati aja kalau masih ngulang lagi ya 😊👆","USER rombongan hantunya kan banyak banget tuh 20 lebih 🤭 syukurlah kalau udah dikasih tau, semoga aja dia bisa mikir, jangan sampe diulangin lagi deh 😌✋","USER pasukannya kan rame banget 20 orang lebih mah 😅 bagus deh kalau udah paham sekarang, harapannya sih dia jadi lebih aware, cuma ya jangan sampe kejadian lagi aja 🙏😊","USER tim backup-nya aja segitu banyaknya 🫢 untung deh kalau udah ngerti sekarang, moga-moga aja dia lebih hati-hati kedepannya, pokoknya jangan diulang-ulang lagi ya 😇👍","USER gerombolan makhluk halusnya kan bejibun 20 orang lebih 😂 wah bagus kalau udah pada sadar, mudahan dia jadi lebih bijak, yang penting sih jangan sampai terulang kembali 🤞😊",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"saran abdi mah lamun diganggu teh nyarios kasar wae kang, abdi oge kitu tiap aya nu ngaganggu pasti kasar omongna 👌","tips ti urang mah gini aja bang, lamun udah kesel diganggu teh omong kasar aja langsung, urang oge gitu tiap aya gangguan langsung frontal 👌","menurut akang mah kalau udah bosen diganggu terus ya bicara tegas aja, urang juga gitu tiap kena gangguan pasti langsung blak-blakan ngomongnya 👌","saran ti sim kuring mah begini wae da, kalau memang sudah jengkel diganggu ya ngomong aja terus terang, kuring oge tiap diganggu pasti langsung to the point 👌","tips urang nih kalau udah capek diganggu mending bicara jujur aja kang, sim kuring tiap kena masalah gini juga pasti langsung straightforward omongnya 👌",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Nama na seram pisan, tapi Leuwi Jurig Garut mah geulis banget! Info lengkap lokasi, fasilitas & HTM na ada di sini https://t.co/qO7MHnwUdy","Jangan takut sama nama na yang horor, Leuwi Jurig Garut asli keren abis! Cek info wisata lengkap na di link ini ya https://t.co/qO7MHnwUdy","Meskipun nama na agak serem, Leuwi Jurig Garut ternyata bagus banget lho! Simak detail lokasi, fasilitas sama HTM na https://t.co/qO7MHnwUdy","Nama na emang unik dan mistis, tapi keindahan Leuwi Jurig Garut ga bisa dipungkiri! Info selengkapnya cek di sini https://t.co/qO7MHnwUdy","Walau pake nama ""jurig"", pesona wisata Leuwi Jurig Garut mah luar biasa! Lengkap info lokasi dan fasilitas na ada nih https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,Anjing!! Lu mau ribut sana sama agensi babi pink SM yang tolol itu. Ngapain sih komen sampah di postingan TY? Gue juga males banget sama drama gaje kayak gini. Ga pengen fanbase TY kena imbasnya atau digangguin yang lain. GOBLOG SIA TEH BANGET!!,BANGSAT!! Kalo kesel tuh sana ke agensi kontol pink SM yang idiot itu. Ngapain lo nyampah dan ngebacot di postingan TY? Gue juga udah bosen sama kericuhan gak mutu kayak gini. Ga mau cbnya TY kena dampak atau diribetin sama yang lain. TOLOL SIA TEH PISAN!!,Sialan!! Mau marah-marah tuh ke agensi anjing pink SM yang bodoh itu aja. Ngapain sih lo nyebarin racun di postingan TY? Gue juga cape sama pertengkaran receh kayak gini. Ga suka cbnya TY jadi sasaran atau kena gangguan. BEGO SIA TEH MENI!!,KAMPRET!! Pengen berantem sana ke agensi bajingan pink SM yang goblok itu. Ngapain coba lu nyampah-nyampahin postingan TY? Gue juga muak sama keributan sampah kayak gini. Ga mau fanbasenya TY jadi korban atau diusik yang lain. DUNGU SIA TEH PISAN!!,Tai!! Kalo mau ngamuk tuh ke agensi setan pink SM yang gak ada otaknya itu. Ngapain lu buang-buang waktu ngerusak postingan TY? Gue juga capek sama drama murahan kayak gini. Ga pengen cbnya TY kena sasaran atau diganggu orang lain. BEDEBAH SIA TEH!!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,unpad kampus tp lampunya kurang terang banget sih kalo malem serem kayak hantu jalanannya,"kampus unpad mah penerangan na kurang pisan euy, malem-malem teh horor kitu jalan na","unpad tuh kampusnya gelap banget kalo malem ya, jalan-jalannya serem kayak tempat angker gitu deh","kampus unpad penerangan na teu cukup terang, upami wengi teh sieun kieu jalan na","unpad kampus lampu jalanannya redup banget nih, kalo malem lewat sana agak serem soalnya gelap",not hate speech
"USER kaga nyambung tot, balik lu kehed","USER bego banget sih, balik wae ka asal lu","USER tolol pisan euy, ulah sok nyarita di dieu","USER teu nyambung pisan, mending kabur wae ti ditu","USER bodoh banget ya ampun, balik ka tempat lu sono","USER goblok total ah, ulah ganggu di dieu deui",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Bangsat emang cowok kayak gitu, suka bohong mulu terus sok lupa sama cewe sendiri, tai banget sih 😠","Gila sih aing udah muak banget sama cowok pembohong, selalu aja pura-pura lupa sama cewenya, menyebalkan pisan 😤","Astagfirullah cowok boong mulu teh, trus sok amnesia ka awewe sorangan, najis banget kelakuannya 🤬","Udah ah capek sama lelaki tukang kibul, resep pisan poho-pohoan ka cewe, brengsek emang 😡","Anjir cowok bohong terus kayak gitu mah, sok pelupa banget sama pacarnya sendiri, kesel banget sumpah 💢",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","anjir dara maneh tuh bener-bener goblok banget sih, kenapa gue harus pilih lu coba? parah banget dah pilihan gue, sia mah emang sampah","dara ih lu tuh bodoh amat ya ampun, ngapain sih gw milih orang kayak lu? salah banget gue, maneh mah tai kucing","astaga dara maneh bego parah coy, kenapa anjing kenapa gue dapet lu? pilihan terburuk hidup gue nih, sia bangsat emang","ya ampun dara ih lu koplok bener dah, naha atuh naha gw kudu dapet maneh? salah total pilihan gue, dasar sia anjing","aduh dara maneh bodoh banget anjir, kenapa ya kenapa mesti gue yang kena sama lu? keputusan paling bangsat gue nih dar, sia emang sampah",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Gue biasa aja sih soal drama ini. Dari dulu gue ga ngapa-ngapain, kesel banget emang","Aku santai wae lah masalah ribut-ributan teh. Aku mah teu naon-naon ti baheula, sebel pisan","Gw fine-fine aja kok sama topik berantem ini. Udah lama gw ga berbuat apa-apa, capek banget deh","Aku mah biasa wae kitu masalah gaduh teh. Ti baheula mah aku teu ngalakukeun nanaon, bosen pisan","Gue cuek aja sama urusan ribut mereka. Dari dulu kan gue diem aja, males banget jadinya",not hate speech
