kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"Anjir pala kanjut, lu ngapain nongkrong di sini, balik atuh urus paket kurir lu teh nu geus nyasar ka komplek batur.","Heuh kampret, lu di grup kelas teh malah spam wae, mending geura benerin tugas anu acak-acakan tibatan bacot di dieu.","Oi goblog, ari maneh hayang nonton konser, ngantri nu bener atuh, tong nyelak siga budak leutik, capek gue nunggu.","Pala kanjut, motor lu teh ngahalangan di pintu gerbang, geser heula geura atuh, batur hayang kaluar jadi macet kabéh.","Eh asu, lu di livestream teh bacot wae, mending fokus kana game-na geura, tim lu geus pada nunggu ti tadi.",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","Grup panitia bazar wae geus leuwih ti 25 jalma, atuh alus pisan kalo udah dijelasin, muga-muga manehna nyaho diri, awas we mun diulang deui 🤝😉","Di guild game, barudak teh aya 30-an, oke lah kalo udah kaharti, sing maneh apal diri, ulah sok ngulang-ngulang deui nya 😎🫰","Antrian tiket konser teh panjang pisan, lebih dari 20 orang, hade nya mun tos dipaparin ngarti, mugi manehna sadar diri, bisi diulang deui mah repot 😅🎟️","Di kelas presentasi, timnya 22 orang, alus mun tos kanyahoan aturanana, mugi manehna teu ngulang kasalahan, awas we mun balik deui ka kabiasaan heubeul 📚🙂","Rapat warga mah rame, leuwih ti 28 urang, yaudah mantap lah kalo udah paham, muga-muga anu tadi nyaho diri, ulah diulang deui atuh 🙏😁",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"Saran gue, mun di-telepon sales terus-terusan jeung geus keuheul, jawab tegas rada kasar we biar teu balik-balik.","Kalo di halte aya nu nyelak antrean, sok we ngomong tegas rada pedes saeutik atuh, bisi maranehna sadar diri.","Di DM kalo bot promosi teu eureun-eureun, gue mah biasa ngegas heula, terus block we, beres.","Main game, mun di-all chat aya tukang bacot ngaganggu, balas sing nyolot saeutik ge, terus cuekkeun we.","Kalo notif aplikasi terus ngaganggu, gue sok ngomong rada kasar bari mareuman, kesel pisan euy.",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Punya nama unik pisan, Kedai Kopi Ceurik di Cimahi teh: menu favorit, fasilitas Wi‑Fi, jeung kisaran harga.","Sanajan judulna rada serem, Podcast ""Ngageter Sore‑Sore"" mah isinya santai atuh: topik obrolan, jadwal rilis, jeung cara ngadengekeunna via app.","Nu resep maca, Bazar Buku Lembur Cileunyi: lokasi, diskonna sabaraha, jeung tips ngubek‑ngubek lapak biar teu poho kaburu sold out.","Meski ngaranna rada sangar, Pasar Malam Bajigur di Sumedang: lokasi, wahana keur barudak, jeung HTM na sabaraha.","Teu kudu sieun, Kelas Yoga Lampu Remang di Dago: fasilitas studio, jadwal sesi, jeung cara daftar online nu gampang pisan.",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH SETAN!! Mun hayang ngamuk mah sana ka server game nu sia bela, ulah nyindir2 jeung nyampah di lobby urang, SIA TEH KOPLOK KEHED teu ngotak pisan!","HEH SETAN!! Kalo mau parkir bener mah di parkiran umum atuh, ulah neundeun mobil nepi ka nutupan garasi batur, KOPLOK SIA TEH KEHED!","HEH SETAN!! Fans bola mah lamun kesel curhatna di forum tim maneh we, ulah nyampah di timeline batur, SIA KOPLOK KEHED nyindir2 teu guna!","HEH SETAN!! Komplain orderan tuh ka CS aplikasi, lain nyerocos di grup RT siga tukang drama, KOPLOK KEHED SIA teu boga etika sakedik oge!","HEH SETAN!! Mun teu resep jeung konten kreator tinggal skip we atuh, ulah ngabring hate di kolom komentar, KOPLOK SIA TEH KEHED beungeut teu malu!",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Aplikasi baru teh dark mode na lebay, kaga kebaca tulisan anjr, scrolling malem mah siga nonton jurig.","Basement mall PVJ mah petanya teu jelas, kaga ada penunjuk keluar anjr, muter-muter kyk dikejar jurig.","Jalan ka pantai tadi subuh teh kabutna kandel pisan, kaga keliatan marka anjr, vibe na mah kyk alam jurig.","Film horor di bioskop teh ceritana biasa wae, tapi sound-nya kagak karuan anjr, jumpscare na mah sok jurig muncul ti mana wae.","Streamer eta mah ngomongna teu jelas, teu kahaja ke-mute anjr, chat jadi sepi kyk room jurig.",not hate speech
"USER kaga nyambung tot, balik lu kehed","Bahas game aja teu nyaho, lu teh teu nyambung pisan, tot, mending cabut we, kehed.","Nanya resep sambel, jawaban lu ngaco wae, sia goblog tot, balik ka dapur sana, kehed.","Soal saham malah ngawur, teu bisa bedain lot jeung lotek, bego tot, indit we jauh, kehed.","Review film teh panjang tapi kosong, teu aya isina, lu bloon tot, tutup wae mulut, kehed.","Ngomongin motor custom malah sok tahu, teu nyambung atuh, kontol lu, balik ka bengkel heula, kehed.",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing muak pisan, lama-lama gawé bareng temen kantor nu sok ngaret jeung nyalahkeun batur wae, teu tanggung jawab, anying.","Kesel atuh, admin kos nu resep mareuman listrik jeung wifi tengah peuting, sok pura-pura teu nyaho deui, anying.","Aing kapok belanja di olshop abal-abal, janji manis bae tapi kiriman teu datang-datang, poho ka customer, anying.","Eta influencer sok gaya nu resep ngarang berita, ngabohong ka follower bari sok sok pinter, anying.","Ketua panitia kampus teh loba cingcong, tugas teu beres-beres, ngarugikeun barudak kabeh, anying.",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Yaallah woy, di ranked maneh pick eta deui, koplok pisan ih; anjr, naha otak teh ditinggal, bad call bgt, sia mah gelo.","Aduh atuh, ngopi bae bisa tumpah, maneh teh koplok ih; naha sih, anjr, pilihan gelasna bad banget, sia kieu mah gelo.","Yaallah, ngetik caption sok salah mulu, maneh koplok ih, anjr naha teu cek heula teh? bad choice pisan, sia teh gelo.","Di jalan oge nyetir siga bebek lieur, yaallah, maneh koplok ih; anjr, naha parkirna ngaco teuing, bad move bgt, sia gelo.","Woy, presentasi maneh mah kosong euy, yaallah koplok ih; anjr naha bahan teh teu siap, bad decision kacida, sia teh gelo.",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Di grup kelas, kenapa jadi gw deui nu dibahas, ribut wae, padahal teh gw teu ngapa-ngapain, tai pisan kehed.","Lagi mabar, pada nyalahin gw wae, padahal ti tadi mah gw diem we, drama-na tai atuh, kehed bgt.","Di grup keluarga mah obrolan ujug-ujug ngelempar ke gw, padahal ti baheula teu ikut campur, tai bener euy, kehed.","Di kantor mah tiap aya masalah nu kasalahkeun pasti gw, padahal teu aya hubunganna, anjir tai pisan, cape kehed.","Di komplek pas tatangga pada ribut, tiba-tiba ngagero ngaran gw, padahal ti kamari oge teu ngapa-ngapain, tai atuh kehed pisan.",not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Baru liat tukang cilok di pojokan, kuring langsung inget ka si budak jurig versi tukang ngelawak, atuh lucu pisan euy.","Dimimitian hiking di bukit, gue malah kepikiran ka meme budak jurig nu keur viral di IG, eta teh ngakak we.","Pas match ML dimulai, gua auto keinget ka squad sebelah nu gaya-na rada misterius, jurig-jurig tapi fun, wkwk.","Mulai rapat online, urang langsung inget ka tetangga nu sok ngisengin kucing, asa siga jurig tapi hatena mah alus, hehe.","Begitu hujan ragrag, aing jadi inget ka film indie nu setting-na gelap, vibes jurig tapi estetik pisan, cek ieu trailer-na: https://t.co/abcd",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,"Anjiw jaket oversize-nya kebesaran teuing, lenganna segede bantal traveling, bisa jadi selimut keur aing","Kardus parcel aing teh gede pisan, isinya sakotak donat doang, kardusna mah bisa dipake nempatkeun sendal di kosan, atuh","Helm yang aing beli online teh longgar teuing, dipake riding malah muter-muter siga baskom, anjiw","Masker kainna kebesaran pisan, nempel ka beungeut aing jadi siga sarung bantal mini, hadeuh","Sepatu boots-nya ukuranna kacida legana, suku aing mah leutik, satu sepatu bisa muat dua pasang kaos kaki, meureun",not hate speech
Bjir.... Jurig juga kesepian sampe ngebiasin cowo ganteng biar ga kesepian 🥹🥹🥹,"Bjir hujan gede teuing, batur pada ngedate, kuring mah cicing di imah nonton drakor bari nyeruput kopi, biar teu sepi pisan 😌","Anjir si ucing oge kabosenan, ahirna dibeliin mainan jeung sobat anyar biar teu meong-meong tengah peuting 🐾","Bjir rank ML turun deui, tapi santuy we atuh, urang latihan deui bari ngopi di warung biar mood teu ruksak 😅","Anjir KRL telat teuing, urang teh ngadengein playlist K-pop bari nyawang jandela, biar haté rada tenang heula 🎧","Bjir di puncak angin kenceng pisan, urang nyeduh indomie bari nyawang city light, biar teu kabawa ku hawa tiis 🌃",not hate speech
USER anj kan bener ada jurig malem,"Anj, sinyal di kosan teh ngaco pisan, nonton bola jadi muter-muter wae euy.","Anjir kan bener, macetna di Dago mah teu nyaho diri, kuring jadi telat meeting deui we.","Anj, listrik padam deui, kompor induksi teh teu bisa dipake, rek masak jadi gagal atuh.","Anjir, tugas kampus teh numpuk teuing, dosenna pada ngasih deadline barengan, pusing pisan euy.","Anj kan bener, kurirna mah nyasar wae, paket kuring muter ti tadi isuk, cape pisan euy.",not hate speech
"setelah gue liat ternyata cuma punya 2500 coa😁 kurangnya banyak jg, kanjut☺️","Baru gue cek cuaca, hujanna teu eureun-eureun, jadi nongkrongna di jero wae, lanjut ngobrol heula ☔️😄","Selesai gue nonton trailer, meureun filmna biasa wae, tapi soundtrackna enak pisan, hayu lanjut maraton sabtu ayeuna 🎬🙂","Gue baru cek menu, nu diskon téh geus abis, yaudah pesen nu séjén wae, lanjut santai atuh 🍜😉","Tadi gue nge-gym sabari lari sakedap, kalorina turun sakedik bae, tapi teu nanaon, teruskeun wae latihanna, semangat euy 💪😊","Abis gue baca tugas, instruksina rada lieur, tapi bisa dipecah saeutik-saeutik, sok atuh lanjut dikerjakeun pelan-pelan 📚😌",not hate speech
"Keputer lagu itu keinget dulu hape aing masih cybershot ngedengerin dijero angkot cikudapateh pas smp, jir aing geus bapa bapa 😭😭","Ningali poster konser 2000-an langsung keinget jaman keur sakola, aing sok numpak sepeda bari ngadengein radio, anjir ayeuna mah geus ngurus balita 😭","Ngadenge suara tukang baso ti luar, eta vibe na ngingetin pas SMA nongkrong jeung barudak di lapang, sekarang mah kerja wae, jir kolot pisan aing 😭","Liat anak-anak maen PS2 di rental, kapikir jaman aing can boga duit, numpang ka sobat, ayeuna mah kudu mikir cicilan atuh, hadeuh umur geus nambahan 😭","Buka lemari kapanggih jaket lawas, bau-na langsung nge-flashback ka jaman kuliah nge-kos di Bandung, ayeuna aing mah sibuk antar jemput budak, anjir terasa kolot 😭","Nempo ringtone Nokia di YouTube, euy langsung kabayang jaman BBM-an bari nongkrong di warnet, ayeuna mah kopi nginum di rumah wungkul, jir hirup geus beda 😭",not hate speech
"deminya aing lg bdmd besar sm si ezi tp suster keknya lg telponan gituan, aing kan diruang tamu ya krn kasur akeu dipipisin kuzo jd lg dijemur krn abis di cuci. AING LG DI SOFA SCROLL TIKTOK DAN TBTB AING MENDENGAR SUARA U GENG KNOW DARI KAMAR SUSTER AING TERGANGGU BGT. https://t.co/bZgSY2epNV","Barusan aing keur masak mi instan di dapur, tapi tatangga lantai dua muter dangdut jedug-jedug, aing mah di ruang tamu wae soalnya kamar lagi di-cat ku mamang tukang, tbtb speakernya ngageleger teuing, scroll IG jadi teu fokus, ngaganggu pisan euy.","Di KRL tadi sore, aing hayang bobo saeutik, tapi aya nu puter VN make speaker, terus tbtb aya nu maen game sora “piu piu” gede pisan, aing nu di pojokan jadi riweuh, bener-bener ngaganggu bgt atuh.","AING lagi WFH di ruang tamu, meeting Zoom jeung bos, eh tukang renov sebelah ngebor tanpa eureun, kumaha atuh, headset geus full volume masih kakeberas, aing jadi teu konsen pisan.","Di perpustakaan kampus mah kudu sareudeung, tapi tbtb aya rombongan latihan paduan suara di aula gigireun, suaranya ngagema ka dieu, aing nu keur nyusun skripsi jadi buyar, kesel saeutik tapi sabar we.","Tadi peuting di travel Bandung–Jakarta, supirna muter lagu koplo volume pol, aing di kursi tengah keur scroll Twitter bari nyoba sare, tbtb bassna ngagebret, astagfirullah ganggu bgt euy.",not hate speech
