kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"USER USER USER Pala kanjut, ngapain lo dimari? Urusin tuh temen2 lu pada puter balik mulu, ga bisa away.","USER USER USER Kepala kanjut sia ngapain di dieu, geura uruskeun eta temen-temen lu nu malah muter balik, teu wani away.","USER USER USER Pala kanjut, ngapain nongol di sini, mending urus kawan2 lu yang balik arah terus, kagak sanggup away.","USER USER USER Pala kanjut lu, naon atuh di dieu; urusin dulu geng lu nu pada mundur teratur, sieun away.","USER USER USER Pala kanjut, ngapain di mari, urus tuh bocah2 lu yang muter balik doang, ga berani away.",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER pasukan jurig mah leuwih ti 20 jalma 🤣 geus weh alus atuh lamun geus dipaparin paham, muga-muga manehna apal diri, awas wae mun masih diulang deui 🥰🫵","USER tim jurig aja udah lebih dari 20 orang 😂 yaudah sip lah kalo udah dikasih ngerti, semoga dia sadar diri, awas ya kalo ngulang lagi 🥰🫵","USER pasukan jurig teh jumlahna leuwih ti 20 🤣 bagus atuh mun tos dipaparin paham, sing manehna nyaho diri, ati-ati wae mun diulang deui 🥰🫵","USER geng jurig juga kan lebih dari 20 orang 🤣 ya syukurlah kalo udah dijelasin, muga-muga manehna tau diri, awas aja kalo masih diulang 🥰🫵","USER pasukan jurig bae geus leuwih ti 20 jalma 😂 oke lah lamun geus diberi paham, moga eta orangna nyaho diri, awas weh mun ngulang deui 🥰🫵",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"saran gue, tiap kali diganggu kalo emg udh kesel, ngomong kasar aja bang. gue mah tiap diganggu jurig sok ngomong kasar we 👌","tips dari aku: mun keur diganggu jeung geus muak, ngomong kasar bae, bang. tiap diganggu jurig, aku mah pasti ngomong kasar","menurut gw, kalo lagi diganggu dan udh capek banget, keluarin kata-kata kasar aja bangg. aku tiap diganggu jurig langsung ngomong kasar","gue nyaranin, lamun diganggu terus trus udah muak, ngomel kasar aja, bang. tiap diganggu jurig gue sok ngomong kasar 👍","kata aku, kalo emg sering diganggu trs udh sebel, ngomong kotor aja ya bang. aku mah mun diganggu jurig pasti ngomong kasar wae",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Ngaran horor, pesona Leuwi Jurig Garut mah juara: lokasina, fasilitasna, jeung HTM aya di sini https://t.co/qO7MHnwUdy","Punya nama serem, pesona Leuwi Jurig di Garut: lokasi, fasilitas, jeung HTM-na bisa kamu cek di link https://t.co/qO7MHnwUdy","Meski ngaranna horor, daya tarik Leuwi Jurig Garut tetep ngagoda: lokasi, fasilitas, jeung HTM https://t.co/qO7MHnwUdy","Bernuansa horor namanya, Leuwi Jurig Garut punya pesona: lokasi, fasilitas, jeung harga tiket (HTM) lengkap di sini https://t.co/qO7MHnwUdy","Namanya horor tapi pesona Leuwi Jurig Garut tetep oke: lokasi, fasilitas, jeung HTM nu bisa kamu apal di dieu https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH SETAN!! Kalo mau ngamuk, sana ke agensi babi pink SM yang gak ngotak itu, jangan di sini. Ngapain nyindir2 terus nyampah di postingan TY? Gw juga gak mau cb tumbang-tindih gak jelas begini. Jangan sampe cb-nya TY DIBURU2 atau DIGANGGU yang lain. KOPLOK SIA TEH KEHED!! https://t.co/94wZiBrlSX","WOI SETAN!! Kalo mau marah, geura atuh ka agensi babi pink SM anu teu make otak, bukan nyampah di postingan TY. Nyindir2 mulu buat apa? Gw ogah cb jadi tumpang tindih gaje gini. Ulah nepi ka cb TY DIBURU2 atawa DIGANGGU ku nu lain. KOPLOK SIA, TEH KEHED!! https://t.co/94wZiBrlSX","SETAN, HEH! Ngamuk mah sana ka agensi babi pink SM nu teu ngotak. Ngapain sih nyindir2 jeung nyampah di postan TY? Gw gak sudi cb jadi tumpuk-tindih teu jelas gini. Gak mau cb TY DIBURU-BURU atawa DIGANGGU ku batur. GOBLOK SIA TEH, KEHED!! https://t.co/94wZiBrlSX","HEH SETAN!! Pengen ngamuk? Pergi we ke agensi babi pink SM yang bebal itu, ulah nyerocos di feed TY. Nyindir2 sama nyampah ngapain sih? Gw pun gak mau cb berantakan tumpang-tindih begini. Ulah bikin cb TY DIBURU2/DIGANGGU ku nu séjén. BELEGUG SIA TEH, KEHED!! https://t.co/94wZiBrlSX","SETAN LO!! Ngamuk mah ke agensi babi pink SM nu otakna kosong eta, bukan ngerecokin postingan TY. Nyindir2 dan nyampah di situ buat apa? Gw juga gak mau cb kacau tumpang-tindih gini. Jangan sampe cb TY DIBURU2 atawa DIGANGGU ku batur. KOPLOK SIA, KEHED TEH!! https://t.co/94wZiBrlSX",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Unpad kampus tapi penerangan ga bener, anjr, kalo malem poek siga jurig jalannya","Unpad teh kampus, tp lampu mah teu bener, anjr, mun peuting jalanna siga jurig","Di Unpad penerangan kacau, anjir, malem-malem poek pisan, jalannya kaya jurig","Kampus Unpad kok lampu pada ga jelas, anjr, malem jalanna siga jurig wae","Unpad gelap teuing pas malem, penerangan parah pisan, anjr, kaya jalan jurig",not hate speech
"USER kaga nyambung tot, balik lu kehed","USER kagak nyambung tot, mending balik sono lu, kehed","USER elu tuh ga nyambung beud, tot; balik aja sana, kehed","USER teu nyambung pisan, tot, udah balik wae lu, kehed","USER ngomong apaan sih? kaga nyambung, tot. Balik sono, kehed","USER lu mah belegug teu nyambung, tot; balik deui atuh, kehed",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing bosen pisan kenal jeung cowok tukang bobolaan, sok poho ka awewe sorangan, anying!","Muak aing, lama-lama kenal jeung cowok doyan bobolaan, sok poho ka cewe na sorangan, anjing.","Capek pisan aing deket-deket jeung cowok hobi selingkuh, sering poho ka kabogoh sorangan, anying 😤","Aing eneg, aya cowok anu resep bobolaan, sok poho ka awewe sorangan, anjing!","Sumpah aing capé teuing kenal sama cowok doyan selingkuh, mindeng poho ka pacar sorangan, anying 😡",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","aduh Dar, maneh teh kumaha sih, yaallah goblog pisan, naha atuh ka gw teh Dar? bad choice bgt, sia mah gelo","yaallah Dara, anjir, maneh koplok pisan, naha ka gue sih Dar? pilihan bego bgt, Dar, sia edan","aduh yaallah, Dar, maneh teh tolol ih, anjr, naha kudu ka gw, Dar? bad choice parah pisan, sia gelo","ih Dara, yaallah, maneh goblok, anjr, naha atuh ka gw teh, Dar? pilihan goblog bgt, sia teh edan","Dara ih, yaallah, anjir maneh bego, naha ka gue atuh Dar? parah bgt pilihan maneh, Dar, sia gelo",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"tiap ada ribut, ujung2nya gue lagi yang jadi topik, tai. dari dulu gue kagak ngapa2in, kehed banget","selalu aja kalo pada berantem, yang dibahas gue mulu tai. padahal gue dari dulu gak ngapa2in, kehed bgt","ributnya balik2 ke gue lagi aja tai, kesel. gue mah dari dulu gak ngapa2in, kehed pisan","gue lagi aja yang jadi topik tiap ribut, tai bener. dari dulu gue kagak ngapa2in, kehed parah","anjir, tiap ribut pasti bahas gue lagi, tai. gue dari dulu kagak ngapa2in, kehed banget",not hate speech
