kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"USER USER USER pala kanjut, keur naon didieu atuh? uruskeun we eta batur maneh nu keur muter balik, teu bisa away","USER USER USER pala kanjut ngapain di mari sih atuh? urusin aje tuh tmn2 lo yg pd muter balik, gk bsa away","USER USER USER pala kanyut ngapain dmri euy, uruskeun dulu tuh tmn2 lu yg pd muter balik, ga bs away","USER USER USER pala kanjut, naha aya dimari euy? uruskeun heula batur maneh anu pd muter balik, teu bsa away","USER USER USER, pala kanjt ngapain sih di sini atuh euy? urus dl aja tuh temen2 lw yg lagi puter balik, ga bisa away",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER bala jurig ge jumlahna leuwih ti 20 urang 😂 ywdh lah alus mun udh dipaparin ngarti, mugia si dia apal diri, ati2 we mun masih diulang deui 🥰🫵","USER pasukan jurig mah lbih dari 20 org kan wkwk; yaudah atuh klo udh dikasih paham, smga dia apal diri, awas wae klo masih diulang lagi 😘👉","USER eta pasukan jurig teh 20+ orang euy 🤣 ywdh baguslah klo sdh diberi paham, mugia manehna tau diri, ulah diulang deui atuh ya 🥰🫵","USER rombongan jurig aja mah lebih dr 20 org 😆 yaudah lah bagus atuh klo udh diksh pahm, mugia manéhna apal diri, awas we klo msh diulang deui 💖👉","USER pasukan jurig wae jumlahna dua puluh leuwih urang 😂 ywdh gpp lah kalo udh dipaparin ngarti, semoga dy sadar diri, ulah diulang2 deui ge ya 🥰🫵",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"saran gue, mun tiap2 diganggu jeung udh muak mah, ngomong kasar aja bg. aku kalo diganggu jurig teh sok ngomong kasar jg 👌","Tips gw: lamun sering diganggu n udh muek pisan, ngomong kasar wae lah bang. aku tiap diganggu jurig sok ngomong kasar jg👌","Saran akuh, kalo emg udah keuheul bgt pas diganggu, omong kasar we ya bang. aku klo diganggu jurig mah pasti ngomong kasar 😌","Menurut gue sih, tiap diganggu lamun udh muak mah, ngomong kasar aja, bray. aku klo diganggu jurig teh pasti ngomong kasar terus 👌","Gw nyaranin, klo sering diganggu n suda muak, ckp ngomong kasar aje bg. tiap diganggu ku jurig, aq oge sok ngomong kasar 😅",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Ngaran na horor pisan, tapi pesona Leuwi Jurig di Garut mah juara bgt: lokasi, fasilitasna, jeung htm ada di sini https://t.co/qO7MHnwUdy","Namanya horor sih, tp pesona Leuwi Jurig Garut tetep geulis bgt: lokasi, fasilitas, sama htm lengkap 👉 https://t.co/qO7MHnwUdy","Punya ngarana horor, keindahan Leuwi Jurig Garut teu kaleng2: lokasi, fasilitas, dan htm cek di sini -> https://t.co/qO7MHnwUdy","Sanajan ngarana horor, pesona Leuwi Jurig di Garut endah kénéh: info lokasi, fasilitas, jg htm-na ada d link ini: https://t.co/qO7MHnwUdy","Judulna rada horor, tp vibes Leuwi Jurig Garut cakep parah: lokasi, fasilitasna, & htm (harga tiket) ada semua di link ini yaa 👉 https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"Heh setan!! Mun rék ngamuk, sok geura ka agensi babik pink SM nu teu ngotak eta. Ulah nyindir2 jeung nyampah di postingan TY atuh. Gue ogé teu hayang cb tumpang-tindih teu jelas kieu. Teu hayang cb-na TY DIBURU2 atawa DIGANGGU ku nu lain. KOPLOK, SIA TEH KEHED!!","HEH SETAN!! Kalo mau ngamuk ya sana ke agensi babik pink SM yg gk ngotak itu, atuh. Ngapain sih nyindir2 n nyampah di postingan TY? Gua jg ga mau cb tumpang tindih gajelas kyk gini. Ga pengen cb-nya TY DIBURU2 / DIGANGGU yg lain. KOPLOK, MANEH TEH KEHED!! https://t.co/94wZiBrlSX","Heh s3tan!!! Mun mau ngamuk mah cabut ke agensi babik pink SM yg otaknya kaga ada we. Ngapain nyindir2 + nyampah di post-an TY sih? Gw jg gk mau cb tumbang2 tindih gk jelas ginian. Gk pgn cb-nya TY DIBURU2 ato DIGANGGU org lain. Koplok euy, sia teh KEHED!!","HEH SETAN! Lamun hayang ngamuk, indit ka agensi babik pink SM anu teu boga otak eta nyak. Tong nyindir2, tong nyampah di postingan TY. Aing ge teu rek cb tumpang-tindih teu écés kieu. Teu hayang cb-na TY DIBURU2 atawa DIGANGGU ku batur. KOPLOK MANEH, KEHED!!",HEH SETAN!! Klo mo ngamuk ya ke agensi babik pink SM yg ga ngotak itu atuh. Ngapain nyindir2 n nyampah di post TY? Gue jg gamau cb tumpang tindih gajls kyk gni. Jgn sampe cb-nya TY DIBURU2/DIGANGGU sm yg lain. GBLK SIA TEH KEHED!!!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Unpad kampus tp lampu penerangan teh teu beres, anjr; mun peuting jalanna siga jurig","Di Unpad, penerangan gaada yg bnr, parah euy; peuting mah jalanan-na kaya jurig pisan","Kmpus Unpad gelap mulu, teu aya lampu nu jelas; malem2 jalanna berasa ky jurig, sumpah","Unpad teh kampus gede, tp penerangan-na kgk bnr; mun peuting kaya jalur jurig, serem bgt",Di kampus Unpad mah penerangan jalan teh ga bener pisan; mlm2 kerasa siga jurig di jalanan,not hate speech
"USER kaga nyambung tot, balik lu kehed","USER teu nyambung bgt, balik deui lah kehed","USER kga nyambung anjr, balik lu atuh kehed","Si USER teh teu nyambng we, gblk, mulang deui atuh kehed","USER ga nyambung ttl, balik dah lo kehed","USER teu nyambung pisan euy, blk aja lu kehd",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing capek bgt deh, lama2 kenal sm cwk yg suka selingkuh teh, sok poho ka awewe sorangan, anying 😤","Aing geus lieur atuh, lila-lila apal ka jalu nu resep selingkuh, sok poho ka awewe sorangan, anjr.","Gua cape bgt ya, lama2 kenal sm cowok yg doyan jajan, sok poho ka pacar sorangan, gblk anying 😡","Aing kesel pisan, lila2 apal ka budak jalu nu resep main haté batur, sok poho ka awewe sorangan, anjg!","Cape euy, kenal2 sm cwk nu resep selingkuh mah, sok poho wae ka cewe sorangan, anyinggg 😠",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Yaallohh Dar, knp sih maneh kieu, anjr goblok bgt; naha ceuk gw teh, Dar? bad choice pisan, sia gelo.","Aduh Dar ih, kunaon maneh kitu atuh, koplok anjr; kenapa kata gue teh, Dar? bad choice bgt sumpah, sia gelo pisan.","Yaoloh Dar, kenapaaa sih lu—eh maneh—gitu, anjr gblk; naha ceuk gw teh, Dar? pilihanmu bad bgt, sia gelo.","Astagh Dar, maneh teh naha kitu euy, goblok pisan anjr; kunaon ceuk gue mah, Dar? bad choice parah bgt, sia gelo.","Astagfirulloh, Dar, knp maneh kieu atuh; anjr koplok ih! kenapa ceuk gw teh, Dar? bad choice bgt pokokna, sia gblk gelo.",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"gue mah jadi wae tai topik ributna, anjr. ti baheula ge teu ngalakukeun nanaon, keuheul pisan","gw dibawa2 mulu jd tai topik rbtna mah. dr dulu kgk ngapa2in, kehed bgt","gua deui wae jadi tai topik nu ribut, woi. ti heula jg gua teu ngapa2in, keuheul bgt asli","g mah tiap2 saat jadi tai topik pas ribut atuh. dr dl gue kagak ngapa2in, kehed pisan sumpah","gue teh diomongin mulu jadi 'tai' tpik ributna, ck. ti baheula oge gw teu ngelakuin nanaon, keuheul bngt",not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Ti dieu mimitian, aing geura kapikiran ka si budak jurig a.k.a Kim Gimyong euy https://t.co/nDm7kCxSl4","Mulai dr sini, gue lgsg keinget bgt sm si budak jurig teh a.k.a. Kim Gimyong https://t.co/nDm7kCxSl4","Dimulain ti dieu, gw auto kepikir ka si anak jurig aka Kim Gimyong atuh https://t.co/nDm7kCxSl4","Ti dieu wae, abdi langsung keingetan kana si budak jurig alias Kim Gimyong wkwk https://t.co/nDm7kCxSl4","Dr sini mah, gue lsg kepikiran sm si anak jurig alias Kim Gimyong euy https://t.co/nDm7kCxSl4",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,"Anjr, eta celana jatah teh kagegedean pisan; sakakinana wae bisa jadi rok span keur aing.","Anjiy, celana pembagiannya kebesaran bgt, satu kakinya aja bisa dijadiin rok spn aing.","Anjir euy, kabagian celana gedenya parah, sakakinya mah bisa dipake rok span keur urang.","Anjw, celana pembagian kegeedeean, segede 1 kakinya doang pun bisa jd rok span keur aing.","Anjay lah, eta celana jatah teh kegedean bgt; hiji kakinana wae bisa dijieun rok span keur aingg.",not hate speech
Bjir.... Jurig juga kesepian sampe ngebiasin cowo ganteng biar ga kesepian 🥹🥹🥹,"Anjr... jurig ge kasepian, nepi ka ngedeketin cw gntng biar gk sepi 😭","Bjirrr, si jurig mah sepi pisan, ampe ngebisikin cowo ganteng supaya ga kesepian 🥹","Anjim woi, jurig teh kesepian bgt, nepi ka nggangguin cowo cakep biar ga sepi 😅","Astaga anjr, jurig oge ksepi teuing, dugi ka ngegebet cowo gntng biar g sepi 😭","Yaampun bjir, jurig juga kasepian, sampe ngebujukin cw cakep sangkan teu kesepian 🥲",not hate speech
USER anj kan bener ada jurig malem,USER anjr kan bner aya jurig peuting,"USER anjir bgt, beneran ada jurig mlm","USER euy, bnr teh aya jurig di peuting",USER anjiir kan emg ada jurig malem atuh,"USER sumpah, bnr pisan jurigna aya peuting we",not hate speech
