kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"USER USER USER Dasar si goblog! Percuma jeung ngomong gede ari kalahkah kitu mah, kawas teu boga uteuk weh siah.","USER USER USER Heh, beungeut tai! Geus mending maneh paeh weh, ngotoran timeline doang bisana, euweuh gunana!","USER USER USER Anjing lah! Rencana maraneh teh siga t*i hayam, geus jelas-jelas moal baleg oge maksakeun wae sia teh!","USER USER USER Cing atuh lah, dasar banci tambleg! Euweuh kaera pisan hirup teh, nyusahin batur weh pagawean siah!","USER USER USER Tong ngacapruk siah goblog! Mending indit weh ka ditu, nyieun runtah doang di dieu mah, teu pantes aya di komunitas!",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","Aduh, janji teh mani molor wae. Geus dibejaan mun rek telat mah bejaan heula atuh, awas weh mun ditinggal! 🙄","Ini teh udah malem, tong rame wae atuh! Geus dibejaan sabaraha kali, awas weh mun diusir ku tatangga. 😬","Eh, tugas teh udah dikirim belum? Nanti keburu deadline, awas aja kalo telat nilai kamu jelek. 😥 Hayu geura bereskeun!","Eta barang mani rungsing, geus dibejaan atuh bereskeun. Awas weh mun teu rapih, nanti ku aing dipiceun kabeh! 😅","Dah dibilangin ya makan teh sing ludes, jangan disisain. Nanti mules loh kalo kebuang-buang. Awas weh mun lapar deui! 😩",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"Sok weh lah mun sinyal internet geus lemot pisan mah, keur ngoprek bari ngomong kasar ge teu nanaon. Biasana sok rada lancar saeutik.","Daripada pusing nyapu teras teu beres-beres, mending gerung weh bari ngoletrak. Kadang kudu rada galak sangkan bersih.","Eta barudak nu hareeng teuing mun ngobrol teh, cik atuh bilangkeun wae. Sakalieun mah kudu rada diambek, biar reuwaseun.","Beuh, macet kieu mah mending teriak-teriak we di jero mobil. Ngambek sorangan ge teu nanaon, da memang kesel.","Nyieun berkas lamun dipersulit wae mah, kadang kudu nyarita rada motah, biar lancaar urusanna. Teu bisa kalem wae bisi lila.",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Meskipun namanya 'Nasi Goreng Setan', rasa gurihnya juara pisan euy! Cobain deh di Bandung.","Duh, macet di jalan tol Jakarta-Bandung teh asa siga horor pisan. Kadieu deui ka imah weh lah, geus cape.","Naek gunung teh emang cape pisan, tapi pemandangan pas nepi ka puncak mah moal aya duana euy. Ngahempaskeun sagala pikiran!",Yuk ah ramekeun! Festival musik indie di Gasibu minggu depan. Banyak band keren nu bakal manggung di dinya.,"Fitur anyar di aplikasi ieu teh asa horor, tapi asli mantep pisan buat edit video. Patut dicoba pokona mah!",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH DASAR BELEGUG! Ari rek ngomel mah mending ka wakil rakyat anu gobl*g, teu mikir rakyat leutik teh. Ngapain ngeluh di grup warga, teu nanaon?! Hayang ngacapruk wae siah, BANGSAT!","HEH CURUT SIA! Maen teh jujur atuh, ulah make cheat wae goblog. Ngapain nyalahin lag, padahal mah skill butut. Urang mah hayang maen bersih, lain siga maneh maen curang terus. PENGECUT SIA!","HEH ANJING SIA! Mun rék nyalip mah nu bener atuh tolol, lain ngahalangan jalan kieu. Geus mah macet, maneh nambahan pusing. Dasar supir Edan, GAK ADA OTAK SIA!","EH GOBLOK! Mun hayang viral mah usaha sorangan atuh, lain nyomot konten batur jig. Ngapain ngejiplak ide terus? Urang teh cape mikir, maneh mah cicingeun hungkul. MENTAL TEMPE SIA, HINA!","HEH TOLOL! Kalo kerja yang bener atuh, jangan cuma asal-asalan gitu. Ngapain ngasih janji palsu terus, ngebohongin customer? Gw gak mau rugi gara-gara pelayanan kacau balau kayak gini. OTAK MANEH DI DENGKUL KAH, GOBLOG!",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Udah jauh-jauh ka dinya, eh ciki geus kadaluarsa anjir, karunya pisan duit aing.","Jaringan indihome di imah aing mah anjis, lelet pisan siga kuya lumpatna, rugi bayar bulanan.","Jalan ka Bandung ayeuna mah anjir, macetna geus kawas cacing kepanasan, lieur pisan.","Meuli baju mahal di online, pas datang anjir bahanna kalah tipis pisan, nyesel kieu.","Harga cabe anjir ayeuna mah, meuni mahal pisan kawas emas, rek masak sambel ge mikir dua kali.",not hate speech
"USER kaga nyambung tot, balik lu kehed","Dasar goblog siah, otaknya ge di dengkul tot, teu ngarti.","Ngapain di sini sih, anjing? Ganggu wae maneh teh, tai!","Halah, cuma bikin cape weh sia mah, bangsat. Mending tiwas di laut geura.","Jelek-jelek kieu ge make bacot, tot. Ari geus butut mah cicing weh goblog.","Ngomong naon sih maneh, tai kotok! Sok jago tapi teu nyaho nanaon kehed.",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing mah geus pusing sama netizen nu sok nyinyir wae, teu boga gawe sigana, anying.","Eta tukang parkir teh asa bararéak teuing, ngagangu jalma liwat, anying, dasar teu puguh.","Aing sebel pisan sama jelema nu sok ngomong doang, tapi pas ditagih manehna ngaleungit, anying.","Ngurus dokumen mah lila pisan, dipingpong kadieu kaditu, padahal gampang, anying ripuh.","Geuleuh aing ningali jalma nu sok pamer, padahal mah euweuh nanaon, anying, siga nu paling bener weh.",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Anjir, sia teh goblog pisan ih! Naha atuh kalakuan maneh siga sato nu teu boga otak?","Tolol pisan ih, maen game ge kalah wae. Sia mah kampungan, teu boga skill pisan anjir!","Ya ampun, gaya maneh teh norak pisan ih! Naha atuh pakean kitu, jore pisan geus siga jalma gelo sia.","Anjay, si eta rese pisan ih! Bacot wae maneh teh geus siga nu teu boga adab, gelo pisan!","Sarap ih hirup teh, rudet wae ti baheula! Naha atuh sagala goblog kieu, gelo pisan anjir.",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Duh, tai macetnya Jakarta, aing geus lieur kieu ti isuk.","Ini sinyal jiga kehed, loading wae ti tadi teh teu bisa-bisa.","Nu kieu mah cape weh, gw mah da riweuh pisan ari kudu beberes imah teh.","Game anyar teh geuning loba bugna, tai pisan lah kalahka ngeselin.","Si eta mah da sok ngaret wae, kehed pisan atuh kudu nungguan manehna wae.",not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Pas maca postingan soal kopi, aing langsung ngidam pisan pengen nyeduh kopi hideung jeung bala-bala haneut.","Nggak nyangka pisan, nempo foto lawas ieu, jadi inget masa SMP, sok ulin ka kebon awi.","Abis liat-liat online shop, tiba-tiba kepengen pisan punya jaket nu anyar, warna na biru langit.","Ujug-ujug hujan gede gini, jadi inget waktu kemaren ngabangun tenda pas di Cikole, ripuh tapi seru.","Liat video anjing ini geus pinter pisan, langsung pengen punya piaraan siga si guguk lucu eta.",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,"Anjir, es teh manisna si eta manis pisan, ampir we gula darah aing langsung naék.","Gila, macetna di jalan Dago téh parah pisan, asa sapoe aing cicing di mobil.","Edan, musik ti tatangga téh tarik pisan, asa ngageterkeun hate aing nepi ka irung.","Anjiw, sinyal provider ieu lelet pisan, ngirim stiker WA gé asa kudu ngopi heula.","Anjir, tugas sakieu gampangna téh asa ngan saukur ngaheureuykeun aing.",not hate speech
