kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"Dasar pala kanjut, ngapain maneh di dieu? Uruskeun tuh babaturan sia nu balatak teu bisa lolos.","Hei goblog, keur naon anjeun di dieu keneh? Benahan babaturan sia nu geus mundur tapi teu bisa kabur.","Pala kontol siah, naha masih di dieu? Sok atuh uruskeun nu mangkeluk geus mundur teu bisa kaluar.","Anjing siah, ngapain lu di sini? Urusin tuh gerombolan lu yang geus balik ka tukang teu bisa leupas.","Dasar belegug, naon euy di dieu keneh? Sok benahan balad sia nu marundur wae teu bisa nyingkah.",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","Sih USER mah pasukan jurig na gé leuwih ti 20an jalma 🤣. Alus weh mun geus ngarti mah, moga sadar diri, ulah coba-coba ngulang deui 🥰🫵.","Eta si USER kelompok jurigna geus leuwih ti 20 urang 🤣. Syukur atuh mun geus dibere nyaho mah, mugia sing eling, awas mun wani-wani ngulang deui 🥰🫵.","Si USER teh rombongan jurigna leuwih ti 20 jalma nya 🤣. Syukurlah mun geus bener-bener paham mah, mudah-mudahan weh dia bisa inget diri, ulah sampe ngulang deui ieu 🥰🫵.","USER eta pasukan jurig na geus leuwih ti 20 orang gening 🤣. Yah mendinglah kalo udah dikasih tahu, semoga sih dia sadar diri, awas wae mun masih wani-wani ngulang 🥰🫵.","Pasukan jurig na USER eta leuwih ti 20an jalma nya 🤣. Udahlah bagus kalo geus dibere pencerahan mah, mudah-mudahan weh dia kapok jeung inget diri, awas weh mun diulang deui mah 🥰🫵.",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"Saran aku sih, kalo beneran udah kesel diganggu, mending langsung ceplosin aja kata-kata kotor, Bang. Aku juga kalo diganggu jurig, pasti langsung keluar kata-kata kasar.","Kalo udah ngerasa muak diganggu, saran gue mah mending langsung ngomong kasar weh, Bang. Tiap diganggu jurig juga, gue mah ngomong kasar terus.","Punya saran nih, kalo lagi diganggu terus udah gak tahan, langsung aja misuh-misuh, Bang. Soalnya aku mah tiap diganggu jurig, bawaannya pengen misuh terus.","Saran dari gue, kalo udah mentok diganggu sampe enek, sikat aja pake omongan kasar, Bang. Gue pribadi tiap diganggu jurig pasti langsung ngamuk pake kata-kata kotor.","Menurutku sih, kalo udah keganggu parah dan bete, langsung aja keluarin kata-kata kurang ajar, Bang. Soalnya aku juga kalo diganggu jurig, pasti refleksnya ngomong kasar.",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Meskipun Namanya Nyeremin, Pesona Leuwi Jurig Garut Memukau: Intip Lokasi, Fasilitas, dan Harga Tiket Masuknya di sini! https://t.co/qO7MHnwUdy","Leuwi Jurig Garut, Destinasi Unik dengan Nama yang Bikin Penasaran. Cek Info Lokasi, Fasilitas, dan HTM Lengkapnya. https://t.co/qO7MHnwUdy","Jangan Kaget Sama Namanya! Leuwi Jurig Garut Punya Daya Tarik Tersendiri. Yuk Intip Lokasi, Fasilitas, dan Harga Tiketnya. https://t.co/qO7MHnwUdy","Leuwi Jurig Garut: Meski Namanya Horor, Keindahan Alamnya Luar Biasa! Simak Lokasi, Fasilitas, dan Info HTM di sini. https://t.co/qO7MHnwUdy","Penasaran sama Leuwi Jurig di Garut yang Namanya Bikin Merinding? Temukan Detail Lokasi, Fasilitas, dan HTM-nya sekarang! https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,WAH DASAR IBLIS! Mun rek ambek mah ka agensi SM si babi pink nu teu mikir. Kunaon nyinyir jeung miceun runtah di post-an TY? Aing gé embung cb pabeulit teu puguh kieu. Teu hayang cb-na TY DIPAKSA atawa DIUSIK ku nu séjén. GOBLOG SIA MAH BANGSAT!,EH DASAR JIN! Lamun hayang ngamuk mah ka agensi pink SM nu euweuh otakna. Naha kalah nyampah di postingan TY ku nyindir-nyindir? Uing ogé teu hayang comeback tumpang tindih teu paruguh kieu. Embung pisan cb TY DIBEUREUHAN atawa DIHALANGAN ku batur. TEU BOGA OTAK SIA BIAWAK!,HEI JAHANAM! Mending ngamukna ka agensi SM babik nu tolol pisan. Buat apa nyingsieunan jeung ngotoran di postingan TY? Kuring ogé moal rék cb nu pabeulit kieu teu jelas. Moal rék cb TY DIPAKSA atawa DIGANGGU batur. SARAP SIA DASAR GOBLOK!,DASAR GOBLOG! Kalo mau marah-marah mah ka agensi SM si babi nu teu ngotak pisan. Ngapain ngotoran postingan TY make nyinyiran? Gue juga ogah cb nu tumpang tindih gak jelas kieu. Gak sudi cb TY DIBURU2 atau DIHALANGAN nu lain. TOLOL SIA NU KEUHAP!,MANEH DASAR SETAN! Mun rek ngamuk ka agensi SM si babik nu teu boga otak. Ngapain nyinyir dan nyampah di postingan TY? Aing ge teu hayang cb pahareup-hareup teu jelas jiga kieu. Teu hayang pisan cb TY diburu-buru atawa diganggu batur. KOPLOK SIA MAH ANJING!,hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Kampus unpad teh, peneranganna mani teu bener, mun peuting mah jalananana siga nu jurigan euy.","Anjir, Unpad kampus tapi peneranganna poek pisan. Kalo malem jalanana teh kayak jurig.","Di Unpad mah kampusnya kaga ada penerangan nu bener, mun peuting asa jurig pisan jalananana.","Parah, kampus Unpad teh lampu jalananana teu caang pisan. Kalo malem mah jiga jurig siah!","Unpad kampus, tapi peneranganana mani leungit. Mun peuting mah jalananana teh kayak jurig anjir.",not hate speech
"USER kaga nyambung tot, balik lu kehed","USER mah tot pisan, obrolanana teu nyambung, geura balik siah kehed.","Dasar USER, omonganana balelol tot, mending nyingkah siah kehed.","Cik atuh USER, euweuh nyambungna pisan tot, balik deui we ka ditu kehed.","Geus ah USER, omongan maneh teh kaga nyambung tot, nyingkah siah kehed.","Eh USER, asa kaga nyambung maneh tot, geura indit siah kehed.",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing geus muak pisan ningali cowok nu karesepna ngan bobolaan wae, sok mopohokeun awewe na sorangan anjing.","Geus kesel kacida aing mah jeung lalaki nu hirupna ngan bal, poho ka kabogoh sorangan anjing teh.","Asli aing cape euy jeung cowok-cowok nu edan pisan kana bal, sok teu inget ka pasangan sorangan anjing eta mah.","Bosen pisan aing kenal sama cowok nu resep maen bal wae, sok poho ka awewe sorangan anying siah.","Aing geus lieur jeung para lelaki nu unggal poe bobolaan, daekna ngan mopohokeun kabogohna sorangan anjing.",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Yaampun Dara maneh teh gelo pisan, naha atuh anjir teu ngadengekeun aing? Pilihan siah teh goblog pisan, Dar.","Dara, siah teh emang tolol geuning! Ya Allah, kunaon sih make milih nu kitu? Maneh edan pisan atuh Dar, pilihan na teh matak kesel.","Duh Dara, koplok pisan maneh teh! Ngahaja siah milih anu salah, anjir. Gusti, naha teu nurut omongan aing sih, sia teh geus gelo?","Ya Allah Dara, maneh teh kunaon sih goblog? Pan geus diomongan ku aing, naha milih nu euweuh otak? Sia edan pisan, Dar, sumpah.","Aduh Gusti, Dara! Maneh teh belegug pisan ih. Kunaon atuh teu mikir heula? Pilihan siah teh ancur pisan Dar, maneh gering?",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Gw mah lagi aja sih, tai banget ini topik ributnya. Dari dulu aing teu nanaon, kehed pisan emang.","Aing mah lagi aja sebel sama topik gaje ieu. Padahal ti baheula ge aing mah teu ngalakukeun nanaon, kehed lah.","Anjir, tai banget ini bahasan ributnya, gw mah lagi aja. Padahal aing teu ngapa-ngapain ti baheula, rese pisan euy.","Gw lagi males pisan bahas topik tai kieu. Aing teh dari dulu gak ngapa-ngapain, sebel pisan kehed teh.","Asli tai banget topik keributannya, gw mah lagi diem aja. Dari dulu juga aing teu nanaon, kesel pisan euy, kehed.",not hate speech
