kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,USER USER USER Pala kanjut rek naon di dieu? Uruskeun tah babaturan sia nu baralik gbsa kabur.,USER USER USER Pala kanjut ngapain dsini? Urusin aja tmn2 lo yg pd puter balik ga bs away.,"USER USER USER Eh, si pala kanjut rek naon di dieu? Uruskeun weh baturan maneh nu baralik deui gbsa kabur.","USER USER USER Dasar sirah kontol, ngapain atuh didieu? Urusin gera baturan sia nu harayang baralik, moal bs kabur atuh.",USER USER USER Pala knjt ngpn d dieu? Ursn baturan sia yg pd ptr blk gbsa awy.,hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER pasukan jurig hungkul ge leuwih ti 20an org 🤣 nya geus alus weh mun dah dikasi ngarti, moga2 mnhna nyaho diri, awas weh mun keneh diulng 😡🖕","USER pasukan jurig aja kan udh lbh dari 20 org 🤣 ywdh baguslah klo dah dikasih paham, moga2 dia tau diri, awas aj klo msh diulang lg 🥰🫵","USER pasukan hantu aja kan udh lebih dari 20 org 🤣 ywdh bgslah kalo dah dikasih paham, smoga dia tau diri, awas aj kalo msh diulang lagi deh 😤","USER pasukan jurig hungkul ge leuwih ti 20 org 🤣 nya geus alus weh mun geus dibere ngarti, moga2 mnhna nyaho diri, awas weh mun keneh dibalikan deui 🔥","USER pasukan jurig weh kan lbh dari 20 org 🤣 yaudh bgslah klo dah dikasih paham, moga2 dia nyaho diri, awas aj klo msh diulang lgi 🫵",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,saran urang unggal diganggu lamun emg geus sebel nyarita kasar wae broh. aing unggal diganggu jurig salawasna nyarita kasar bgt 👌,saran gue tiap kali diganggu klo emg udh eneg bgt ngomong kasar ajah bang. gue tiap diganggu jurig slalu ngmng kasar 👌,saran w klo tiap diganggu mun emg geus muak ngmng kasar weh mang. aq tiap diganggu jurig sll ngmng kasar 👌,saran kuring unggal diganggu lamun emang geus bosen nyarita kasar weh lur. abdi unggal diganggu jurig salawasna nyarita kasar 👌,"saran gue sih klo digangguin mun emg udah muak banget, bilang kasar aja dong bro. gue tiap digangguin jurig pasti ngmng kasar 👌",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Punya Nami Horor, Pesona Leuwi Jurig Garut téh: Lks, Fasilitasna, n HTM. https://t.co/qO7MHnwUdy","Nama nya horor pisan, tp pesona Leuwi Jurig Garut gila bgt: Lks, fasil, n HTM. https://t.co/qO7MHnwUdy","Ngaranna sih horor pisan, tapi Leuwi Jurig Garut mah keren euy: Info Lks, Fasil, n HTM cekidot. https://t.co/qO7MHnwUdy","Nama nya emg horor, tapi pesona si Leuwi Jurig Garut ini gaboong deh: Lks, Fasil, sm HTM nya ada di sini. https://t.co/qO7MHnwUdy","Ngaranna mah rada horor, tapi Leuwi Jurig Garut meni éndah pisan: Lksna, fasilitasna, jeung HTM na. https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH SETANN! Lamun hayang ngamuk, geura ka agensi babi pink SM nu teu gableg otak eta. Naon gunana nyindir2 jg nyampah di pstingan TY? Abdi oge teu hoyong cb tumbang tindih teu puguh kieu. Teu pgn cbna TY DIBURU-BURU atawa DIGANGGU nu sejen. KOPLOK SIA TEHH DASAR KEHEDDD!!",EH STANN!! Klo mo ngamok sono ke agensi babik pink SM yg ga ngotak bgt! Ngapain si nyindir2 ama nyampah di pstingan TY hah? Gue jg ga mo cb tumbang tindih gajelas ky gini! Gk pgn cbnya TY DIBRU2 ato DIGANGGU yg laen. DASAR KOPLOK SIA TEH GOBLOK KEHED EMANG!,"WOI SETANNN! Mun hayang ngamuk, indit ka agensi babi pink SM nu teu boga otak eta! Kanggo naon nyindir-nyindir jeung nyampah di postingan TY? Gue jg ga mau cb tumpang tindih gak jelas kieu. Teu pgn cbna TY dipaksa buru-buru atawa diganggu ku nu sejen. SIA TEH KOPLOK GOBLOG BANGET KEHED!","HEHH SETAN KODOK! Kl mo ngamuk, tuh ka agensi babii pink SM nu teu gableg otak pisan! Buat apa nyindir-nyindir sama nyampah di postingan TY hah?! Gwe jg g mo comeback tumbal tindih ga jelas ky kieu. Gk pgn comeback TY DIBURU2 atawa diganggu batur. BENERAN KOPLOK SIA TEH KEHED BGTTTT!","HEH DASAR SETAN! Klo hayang ngamuk, ka agensi babik pink SM nu geus teu boga uteuk mah. Ngapain sih nyindir-nyindir trus nyampah di postingan TY? Gue jg gamau cb tumbang tindih ga jelas kyk kieu lah. Ga pgn bgt cbnya TY buru-buru ato diganggu nu lain. SIA GOBLOG KEHED PISAN KOPLOK ETA MAH!",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,Kampus Unpad tapi euweuh caang nu bener anjrit lamun peuting jiga jurig jlnna.,Unpad kampus tpi ga ada penerangan beneran anjrrr kl malem kek jurig jalanannyee.,Kampus unpad tpi gkda cahaya yg beneran anjirrr pas mlm kyak jurig jlnnya.,Kampus Unpad teh tapi euweuh pisan lampu nu bener anyirrr waktu peuting jiga jurig pisan jalanana.,Kampuz unpad tp gada penerangan yg bnrr njir kl mlm kya jurig jln nya.,not hate speech
"USER kaga nyambung tot, balik lu kehed","USER teu nyambung tot, blik lo kehed","USER kgk nyambung tot, balik maneh gblk","USER ga nyambung tot, balik weh maneh kehed","USER henteu nyambung tot, blik sia kehed","USER teu ngarti pisan tot, blik weh mneh kehed",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing cpek deh lila-lila knl sm lalaki nu resep bobolaan, sok poho ka awewe sorangan anying.","Aku cpek bgt lama2 knl sm cowok yg suka main bola, suka lupa ke cwenya sendiri anjr.","Aing sumpah geus hareudang knl sm lalaki nu hobi maen bola, sok poho weh ka awewe sorangan anjjj.","Aing mah geus hareudang pisan euy pakenalan jg lalaki nu mani hobi bobolaan, sok poho weh ka awewe pribadi njirrr.","Gue bt bgt dah lma-lma knl sm cowok yg hobi pisan bobolaan, sok poho ka cewe sorangan bangke.",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","aduuhh dara ih maneh pisan ih yaallah koplok ihh, naha anjrr naha ceuk aing teh dar? yaallah bad choice pisan dar maneh teh gelo","aduhh dara ih luu ih yaoloh gblk ih, knp anjirr knp kt gue dar? yaoloh bad choice bgt dar lo gblk","aduuh dara ih manehh ih yaallah tolooll ih, naha anjrot naha kata aing teh dar? yaolohh bad choice bgt dar sia koplok","aduhhh dara ih maneh geuningan ih yaallah gebleg pisan ih, naha njrrr naha ceuk urang teh dar? yaallah pilihan teu baleg dar sia gelo","aduhh dara ih elu ih yaolohh bego bgt ih, knp njir knp kata gue dar? yaallah pilihan tolol bgt dar lu gelo",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Aing keur wae topik paadu omongny ge tae. Urang teu nanaon ti bahela, khed pisan euy.","Gua lg aj topik debatny yg tae bgt. Guamh teu ngapa2in dr dl, pisan khed.","Aing keur mh eta topik pasulayanana nu t**. Aingmh teu nanaon ti kapungkur, meni khed euy.","Gw cuma lg topik ribut2ny nu tai. Gw teu nanaon ti bahela wae, khed pisan lah.","Urang keur mh topik pabeubeutanny anu tae. Urang teh teu ngapa2in ti bahela pisan, bgt khedna.",not hate speech
