kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"USER USER USER Anying siah, pala kanjut! Ngapain di sini, hah? Urusin tuh temen-temen maneh nu pada puter balik wae, teu bisa kabur!","USER USER USER Wah, si pala kanjut geuningan tos sumping. Teu boga gawe sanes? Urus weh heula barudak maneh nu geus lieur muter balik wae, teu bisa ka mana-mana.","USER USER USER Kieu geuning tingkah si pala kanjut. Di dieu keneh wae. Mending urus babaturan maneh nu geus pada bingung muter balik wae, teu bisa leupas ti dinya.","USER USER USER Dasar bangsat, pala kanjut! Ngapain ngabodoan di dieu? Urusin atuh tim maneh nu geus pada konyol muter balik wae, teu bisa keluar!","USER USER USER Percuma aya pala kanjut di dieu, ngan nambahan hareeng. Urus eta balad-balad sia nu geus marunyer lieur, teu bisa ngaléos ti dinya.",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER, memang grupnya seueur nya. Syukurlah kalau sudah dikasih pengertian, semoga tidak terulang deui.","Wah, USER, baladna emang loba pisan. Alhamdulillah geus ngarti mah, moga-moga weh makin ngarti ka hareupna.","USER, timnya ge pan rea pisan. Duh, syukurlah mun geus dibere terang mah, semoga weh dia sadar, ulah nepi ka ngulang deui wae.","USER, gening rombonganana loba oge nya. Baguslah kalo udah dikasih tahu, semoga dia makin ngerti jeung bisa ngajaga diri.","USER, eta mah pasukanna seueur pisan. Alhamdulillah geus dipahamkeun mah, awas weh mun diulang deui mah, jangan sampe kejadian lagi ya.",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"Saran aing mah, lamun geus sumpek pisan diganggu, sok weh diungkapkeun. Kuring ge tiap diganggu jurig, osok ngomong sorangan biar plong.","Tips nih, lamun udah bener-bener riweuh diganggu, coba aja diluarin kekesalanmu. Aku mah tiap diganggu jurig ge, suka langsung ngerocos biar lega gitu.","Saran teh, lamun udah kacida bete diganggu, mending diomongkeun weh. Kuring ge kitu, tiap diganggu jurig, osok langsung nyarios biar eces.","Kalo saran abdi sih, lamun geus cape diganggu wae, mending direspons sacara langsung. Abdi ge tiap diganggu jurig, suka nyarios spontanitas.","Saran aing mah, lamun geus jengkel pisan diganggu, mending diungkabkeun weh. Kuring ge tiap diganggu jurig, osok nyarios sekeras-kerasna biar plong!",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Meskipun namana *jurig*, Leuwi Jurig Garut teh geulis pisan euy! Cek info lokasi, fasilitas, jeung HTM-na di link ieu: https://t.co/qO7MHnwUdy","Penasaran nggak sih sama Leuwi Jurig Garut nu namana *horor*? Yuk intip lokasi, fasilitas, jeung HTM-na di link ini: https://t.co/qO7MHnwUdy","Walaupun namana serem, pesona Leuwi Jurig Garut mah *mantap pisan*! Info lokasi, fasilitas, jeung HTMna aya di dieu: https://t.co/qO7MHnwUdy","Jangan kaget sama namana! Leuwi Jurig Garut *aslina endah*. Lengkap info lokasi, fasilitas, jeung HTM-na di link ieu: https://t.co/qO7MHnwUdy","Leuwi Jurig Garut: Namana bikin penasaran, tapi pemandanganna *moal aya dua*. Cek detail lokasi, fasilitas, jeung HTM-na di link ini: https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH DASAR MANEH ANJING! Lamun rek nyarékan, ka agensi babik pink SM nu geus gélo, tong nyampah di postingan TY atuh. Teu boga kaéra pisan! Moal sudi pisan cb nu ieu jadi tumbal teu puguh kieu. Ulah wani-wani ngaganggu cb TY. SIA TEH JALMA TEU GUNA, MENDING PAEH SANA!","ADUH MENEH MAH GOBLOK! Mun rek ngamuk teh ka agensi SM nu geus teu mikir eta, nu babik pisan. Naha kudu nyocot di lapak TY? Jijik pisan ningali kalakuan nu kieu teh. Moal pisan nerima cb nu tumpang tindih. Ulah ngarepkeun cb TY diganggu sembarangan. SIA TEH BUDAK TEU GUNA, JELEMA BANGSAT!","HEH SIA SETAN! Mun boga masalah jeung agensi babi SM nu loba polah, ulah nyampah di postingan batur. Teu boga adab pisan maneh teh?! Geus puguh teu hayang cb nu siga kieu, kalah nyieun riweuh. Ulah wani-wani ngaganggu cb TY, sabab éta mah hakna! DASAR SIA KEHED JAHANAM!","PADA KOPLOK SEMUA! Kalau mau protes ke agensi SM yang babik, kenapa harus ngotorin lapak TY? Mikir atuh, kan udah jelas gak mau ada cb yang diganggu kayak gini. Udah mah diburu-buru, eh malah ada yang nyampah. Cukup jangan ganggu cb TY. SIA TEH GAK PAKE OTAK!","EULEUH-EULEUH!! Eta jalma-jalma nu resep ngamuk ka agensi SM anu babik, naha bet nyampah di postingan TY? Niatna naon sih? Teu boga kaéra! Jujur weh aing teu resep cb nu tumpang tindih jeung ngaganggu kieu. Ulah wani-wani ngusik-ngusik cb TY! DASAR MANEH MAH JELEMA KURANG DIAJAR!",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Unpad kampus tapi mun malem teh peneranganna rada kurang, jadi asa poek jalananna.","Mugia penerangan di Unpad tiasa leuwih sae, soalna mun malem teh rada poek pisan jalananna.","Penerangan di kampus Unpad pas wengi teh memang kurang optimal, jadi pami liwat kedah hati-hati.","Unpad teh kampus, tapi mun malem mah peneranganna asa nyumput, kudu pake senter sorangan kieu euy.","Mohon perhatiannya untuk penerangan di Unpad, soalnya pas malem teh rada kurang pisan, jadi asa bingung jalananana.",not hate speech
"USER kaga nyambung tot, balik lu kehed","USER otak kosong maneh, balik geura goblok.","Dasar tolol pisan, USER. Balik weh ka jarian!","Jigana teh USER mah eweuh otakna, geura nyingkah siah!","Kaga ngotak pisan si USER, mending singkirkeun maneh dasar bangsat!","USER mah lain jelema, koplok! Mending balik weh ka goblogan maneh.",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Geus lieur aing mah sama cowok nu hobina bobolaan teh, pamajikan sorangan ge dipohoan wae, dasar sia goblog!","Aing geus jijik pisan ningali lalaki nu ukur mikiran bal, awewe di imah diantep weh siga embé, siah!","Lamun aing nyaho mah moal sudi kenalan jeung lalaki nu resep ngagugulung bal teh. Teu boga hargana hirupna ge, dasar bedegong!","Eta cowok-cowok nu resep bobolaan téh uteukna di dengkul sigana mah. Pamajikan sorangan teu dipalire, dasar sato!","Hadeuh, aing mah geus pusing ku lalaki nu beuki ngudag bal teh, boro-boro mikiran pamajikan, di imah ge siga patung. Dasar tolol!",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Anjir Dara mah emang koplok! Geus lieur kitu pilihan maneh teh. Gelo pisan sia, Dar, goblog!","Aduh Dar, asa teu boga otak kitu pilihan maneh teh. Naha make kitu sagala? Dasar koplok sia mah!","Ya Allah, Dara naha bet koplok pisan sih? Pilihan siah teh matak ngareuwaskeun, geus gelo kitu maneh teh Dar?",Kieu atuh anjir gara-gara si Dara nu koplok! Eta pilihan maneh teh bener-bener matak puyeng. Dasar belegug siah!,Goblok siah Dara! Eta pilihan sia matak ngajungkelkeun. Naha bisa mikir kitu maneh teh? Edan!,hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,Aku mah geuning rada cape kana topik ribut kieu. Padahal mah ti baheula aku teh teu ngalakukeun nanaon.,Aku mah rada males ku topik ributna. Ti baheula aku teh teu ngapa-ngapain padahal mah.,"Duh, topik ributnya gitu-gitu wae nya. Aku mah ti baheula teu ngalakukeun nanaon padahal.",Perasaan aku mah asa jadi korban topik ribut wae. Padahal mah ti baheula aku teh teu nanaon.,Gw mah pusing aja sama topik ributnya. Dari dulu aku teh teu ngapa-ngapain padahal.,not hate speech
